1802,6136.0
1803,6344.0
1804,6240.0
1805,6136.0
1806,6344.0
1807,6448.0
1808,6344.0
1809,6448.0
1810,6448.0
1811,6344.0
1812,6344.0
1813,6240.0
1814,6240.0
1815,6240.0
1816,6136.0
1817,6136.0
1818,6032.0
1819,5928.0
1820,5928.0
1821,6136.0
1822,6240.0
1823,6344.0
1824,6552.0
1825,6656.0
1826,6656.0
1827,6656.0
1828,6656.0
1829,6760.0
1830,6760.0
1831,6656.0
1832,6760.0
1833,6656.0
1834,6656.0
1835,6656.0
1836,6552.0
1837,6656.0
1838,6656.0
1839,6656.0
1840,6656.0
1841,6656.0
1842,6656.0
1843,6656.0
1844,6448.0
1845,6448.0
1846,6552.0
1847,6552.0
1848,6656.0
1849,6552.0
1850,6656.0
1851,6760.0
1852,6760.0
1853,6656.0
1854,6656.0
1855,6656.0
1856,6760.0
1857,6760.0
1858,6656.0
1859,6656.0
1860,6656.0
1861,6656.0
1862,6656.0
1863,6552.0
1864,6448.0
1865,6448.0
1866,6344.0
1867,6448.0
1868,6240.0
1869,6240.0
1870,6240.0
1871,6240.0
1872,6136.0
1873,6240.0
1874,6136.0
1875,6032.0
1876,5928.0
1877,6032.0
1878,5928.0
1879,5928.0
1880,5928.0
1881,5824.0
1882,5824.0
1883,5928.0
1884,5824.0
1885,5928.0
1886,6136.0
1887,6240.0
1888,6344.0
1889,6344.0
1890,6552.0
1891,6656.0
1892,6656.0
1893,6760.0
1894,6656.0
1895,6760.0
1896,6760.0
1897,6760.0
1898,6760.0
1899,6760.0
1900,6760.0
1901,6864.0
1902,6864.0
1903,6864.0
1904,6760.0
1905,6760.0
1906,6864.0
1907,6760.0
1908,6656.0
1909,6656.0
1910,6656.0
1911,6760.0
1912,6656.0
1913,6552.0
1914,6656.0
1915,6656.0
1916,6760.0
1917,6760.0
1918,6864.0
1919,6760.0
1920,6864.0
1921,6968.0
1922,6968.0
1923,6968.0
1924,7072.0
1925,6968.0
1926,6968.0
1927,7072.0
1928,6968.0
1929,6968.0
1930,6864.0
1931,6968.0
1932,6864.0
1933,6864.0
1934,6760.0
1935,6760.0
1936,6864.0
1937,6760.0
1938,6760.0
1939,6760.0
1940,6656.0
1941,6656.0
1942,6656.0
1943,6656.0
1944,6656.0
1945,6656.0
1946,6656.0
1947,6552.0
1948,6552.0
1949,6552.0
1950,6552.0
1951,6448.0
1952,6344.0
1953,6240.0
1954,6240.0
1955,6240.0
1956,6240.0
1957,6240.0
1958,6032.0
1959,6032.0
1960,5928.0
1961,5824.0
1962,5824.0
1963,5824.0
1964,5928.0
1965,6032.0
1966,6032.0
1967,6032.0
1968,6136.0
1969,6136.0
1970,6136.0
1971,6240.0
1972,6448.0
1973,6344.0
1974,6448.0
1975,6448.0
1976,6552.0
1977,6656.0
1978,6656.0
1979,6656.0
1980,6760.0
1981,6760.0
1982,6864.0
1983,6864.0
1984,6864.0
1985,6864.0
1986,6864.0
1987,6864.0
1988,6864.0
1989,6864.0
1990,6760.0
1991,6760.0
1992,6656.0
1993,6656.0
1994,6552.0
1995,6552.0
1996,6552.0
1997,6448.0
1998,6344.0
1999,6240.0
2000,6240.0
2001,6240.0
2002,6136.0
2003,6136.0
2004,6032.0
2005,5928.0
2006,5928.0
2007,5512.0
2008,5200.0
2009,5096.0
2010,4992.0
2011,4888.0
2012,4680.0
2013,4472.0
2014,3848.0
