,correlation,rmsd
0.1,-0.27483468544139805,251.10684090889637
0.2,-0.2088371492445754,272.61984414724265
0.30000000000000004,-0.16842352886060358,290.755275580564
0.4,-0.07878504610691066,290.8095860659053
0.5,-0.010087421429173099,290.18576491507775
0.6,0.005477180311793449,300.1863695175356
0.7000000000000001,0.05207816395172798,303.8698736125114
0.8,0.08366758094772944,308.09387182814174
0.9,0.0964662757129704,310.087554530652
1.0,0.11240745929757366,310.2837842734578
2.0,0.2552819143173875,344.2224593431854
3.0,0.34211341130423417,346.7918227110946
4.0,0.39895682493702217,362.9509685792978
5.0,0.41230491663549557,426.29703903205836
6.0,0.445421915518333,434.72477057598087
7.0,0.4860473591354044,433.6734464723733
8.0,0.5219943704194975,426.8960851924968
9.0,0.5621933817766592,423.74777746617485
10.0,0.5700717770708912,436.1789584849452
11.0,0.5779590233048705,438.05585680600404
12.0,0.6092265019735906,436.63374427352664
13.0,0.6082146726205396,441.3393608651004
14.0,0.619898542052723,437.8255047060277
15.0,0.6336376244295641,441.4758798522145
16.0,0.6560593685667213,434.4615483223653
17.0,0.6498138290946104,438.33748482791384
18.0,0.667898094014811,439.3812635369899
19.0,0.6724501900963982,442.63161890093954
20.0,0.6851419953684311,443.0527009267019
