,correlation,rmsd
0.1,-0.1384229972353662,251.71537849167524
0.2,0.006577608318183673,266.1703384444795
0.30000000000000004,0.13473870260604234,270.9356493477047
0.4,0.14087402769412496,280.4122635826018
0.5,0.20005001472842307,276.7399350908446
0.6,0.24406427350706492,271.3745089392027
0.7000000000000001,0.2803579300631776,271.82744740207977
0.8,0.3094825687747737,277.3652210842791
0.9,0.3416094099493689,272.4157673712974
1.0,0.40260345403910164,276.53440063400404
2.0,0.564484523058153,261.9306437228691
3.0,0.6519578668669881,276.6012595912371
4.0,0.6861430056835028,273.70233949602124
5.0,0.708071953817051,296.27098915673776
6.0,0.7376946240974267,300.56371127035555
7.0,0.7448590614986889,318.9061628080751
8.0,0.7672295196861901,328.3913872196421
9.0,0.7935016451496272,331.88194975137554
10.0,0.78396426155882,340.1600485444876
11.0,0.807800708951165,342.0588022666248
12.0,0.8070429579368424,354.3898532598089
13.0,0.831203793917105,362.7546239836669
14.0,0.8393151956346092,365.446838524987
15.0,0.8368063122834352,373.57407718262266
16.0,0.8556632727092431,365.22964060427
17.0,0.8596371407677534,377.81402398431385
18.0,0.8660919531907895,389.22418470932547
19.0,0.8717246558369299,395.46121314272955
20.0,0.8697011437730151,393.0523680904325
