,correlation,rmsd
0.1,-0.02138421841365768,243.6015555335805
0.2,0.13279526937661154,257.0621793338402
0.30000000000000004,0.24973463060467468,253.66777583701943
0.4,0.32085962353009484,259.8215325377545
0.5,0.39257201456509594,258.6775804846322
0.6,0.43022350658344444,259.3348705321833
0.7000000000000001,0.4439927931280049,261.39378176129014
0.8,0.4813516334318314,259.6256736583329
0.9,0.47426679110939574,262.73000715497943
1.0,0.5000404941801032,261.75044624882446
2.0,0.6319428992175992,268.1114528933071
3.0,0.686960989135282,279.39805945412576
4.0,0.7281689735622227,293.33517066949275
5.0,0.7839725082173893,290.5807651539625
6.0,0.7989428056673433,312.24203768555327
7.0,0.8229079089858482,324.61216375384595
8.0,0.8423590185856406,338.34652150499363
9.0,0.856061987601018,339.25827213270895
10.0,0.8467477097907179,347.7579147036659
11.0,0.864910440030793,359.72720032528196
12.0,0.8701384138495744,373.2116891183661
13.0,0.8783644808065727,379.18370821505624
14.0,0.8789926131570813,389.5267941007066
15.0,0.8878503990804679,390.98057096100865
16.0,0.8976109655490849,389.5911246957979
17.0,0.9059734949059044,399.8807811235732
18.0,0.9019748129516918,411.8888170773828
19.0,0.9085327374062767,407.6987751163998
20.0,0.9191699883932009,418.29895786024565
