,correlation,rmsd
0.1,0.025970489055798372,259.06174346324144
0.2,0.17489024929711128,272.41613649994895
0.30000000000000004,0.26362183163686154,265.7256044942798
0.4,0.29442838547606215,272.9594265423048
0.5,0.38709123005017565,271.34175471920736
0.6,0.43590041687867864,266.75061800182755
0.7000000000000001,0.47332999665726655,280.06608491386834
0.8,0.5094027193902496,275.9855310365097
0.9,0.5457230593637715,271.73649426712063
1.0,0.5476437090773418,270.23340221186737
2.0,0.6828398444428547,284.7702744853532
3.0,0.7310787693837879,308.05380331001834
4.0,0.7730256981787759,317.96404275491136
5.0,0.7993036322346135,336.92436408421565
6.0,0.8260046253777041,349.31300503663704
7.0,0.8345891625565018,366.90129171575046
8.0,0.839749706882008,372.9773823124257
9.0,0.8541977745065887,390.0307165825017
10.0,0.8752362033658956,396.2567821756106
11.0,0.8894176473856567,401.29522817704714
12.0,0.8882649088890924,409.1025481160831
13.0,0.8873427238010425,415.1301297930656
14.0,0.8954544353622996,422.0303292671713
15.0,0.9066670950092466,429.4008892433622
16.0,0.9029002188837427,438.4608222311851
17.0,0.9048581977149834,442.3038218466699
18.0,0.908774295420305,449.31066812490354
19.0,0.9132451833224914,460.2472243489212
20.0,0.9174025998083059,459.1934373336157
