,correlation,rmsd
0.1,-0.11176658637668378,218.9941549201637
0.2,-0.059568977265097724,248.10913140585467
0.30000000000000004,0.03700095658032711,256.41012098336597
0.4,0.12575605167116718,264.1577700717624
0.5,0.1930184105588071,268.26671489524944
0.6,0.2608935363760969,261.90388687505043
0.7000000000000001,0.3126320545742201,256.22149643847456
0.8,0.3244923043088378,256.6447301714608
0.9,0.34807626075632453,259.0601833125572
1.0,0.3838599527015273,256.13168413931186
2.0,0.5776934623020952,249.07768728816694
3.0,0.5906815428725402,267.89978843374814
4.0,0.641562631982971,266.6712259115882
5.0,0.6743904826838861,267.3258250112056
6.0,0.700893132501514,278.6583013919391
7.0,0.714250731327017,287.59503026449124
8.0,0.7491393968864637,289.79107530696825
9.0,0.7692998772376666,287.9043732292813
10.0,0.789921623219752,294.55701911257853
11.0,0.7718960632269227,310.17216821187384
12.0,0.7925725448538814,310.4335430316122
13.0,0.8025164622375556,312.0745614707819
14.0,0.8198416638578631,312.101660811751
15.0,0.8344494595499659,317.9388511153759
16.0,0.8360335031126689,328.18714141844345
17.0,0.8489504133979662,334.2231012967883
18.0,0.8465390347806784,337.98246247434633
19.0,0.8650271922358557,336.08485098487114
20.0,0.8709347606771282,347.859421640761
