,correlation,rmsd
0.1,0.05986969431970436,213.25962061228006
0.2,0.14950280016400042,215.1384708561091
0.30000000000000004,0.27883073938061376,216.51973592307465
0.4,0.288537802936601,234.27781904314207
0.5,0.34997308359135504,245.3650573731376
0.6,0.38441601937609127,244.3602253182313
0.7000000000000001,0.41385963455988256,243.9498412647646
0.8,0.4314960374246802,239.1133358631391
0.9,0.468118404482874,249.08461741012894
1.0,0.4818399431049507,249.35794295753493
2.0,0.5957205393306509,257.25766889259336
3.0,0.6774270398856991,263.3681795383422
4.0,0.726494519717904,270.89651824573326
5.0,0.765948086409279,275.7385673201089
6.0,0.7753520794736194,298.01404963817293
7.0,0.7973813487931558,300.1992422167528
8.0,0.8116972957101883,303.02592206957155
9.0,0.8222412521572254,309.2251104313791
10.0,0.8505370534028237,317.0900111029087
11.0,0.8513743882108145,321.1753846291365
12.0,0.8630431173327544,327.2218703123121
13.0,0.8737746300457206,344.1027210582199
14.0,0.87066514999649,338.36950561722506
15.0,0.8691406478641139,342.7799498041304
16.0,0.8916317883551839,343.9196561919307
17.0,0.8927052273122443,361.1184532044323
18.0,0.8908423866969567,373.92459979632287
19.0,0.8989653456658304,384.2535310788919
20.0,0.9092887558477576,381.0466635703695
