,correlation,rmsd
0.1,-0.004000391472559295,230.39369280221462
0.2,0.09551218979227273,258.40105715561725
0.30000000000000004,0.21141331774464575,258.0855385290667
0.4,0.27980545998343714,256.82069850839105
0.5,0.3734422154519548,253.16519625210586
0.6,0.4020845878584246,255.99273477466295
0.7000000000000001,0.43587765953890467,255.43383985189365
0.8,0.44625342633002346,258.71618753720384
0.9,0.4530961432642132,253.78479858916648
1.0,0.4907516593936499,257.0085965344031
2.0,0.6231996274666807,260.84367801955324
3.0,0.6780830430874617,275.4158714964779
4.0,0.7135879545983492,281.88497561051804
5.0,0.7592959111737304,282.1277950270318
6.0,0.7818746902004996,296.4934908640035
7.0,0.8129161864011107,312.0120977617169
8.0,0.8233715579147428,315.08271457202545
9.0,0.8385393156644376,318.2851381290873
10.0,0.8496072922997827,329.6173496636731
11.0,0.86094806499402,342.859954102863
12.0,0.8708296755071646,353.8993637792554
13.0,0.8759363661087798,353.79833286264494
14.0,0.8853000837755706,356.1313812919558
15.0,0.8783263828126184,367.2278808297556
16.0,0.8892275294780173,382.21988797626506
17.0,0.8938822600844117,379.5516144707234
18.0,0.905341156058495,383.93011078205996
19.0,0.9010387289916835,394.8946940728989
20.0,0.903441579043508,399.726023724488
