,correlation,rmsd
0.1,-0.051400061801331796,216.99951734234688
0.2,0.040933962712260706,228.0333063693007
0.30000000000000004,0.1320527087431411,225.91795658586884
0.4,0.16225091627917576,228.46377947005638
0.5,0.22064452131576553,235.76200966140152
0.6,0.2381547090885105,246.4234822565814
0.7000000000000001,0.27659347574938836,247.11202129675948
0.8,0.3221427382299413,248.85330960243468
0.9,0.36551728847292325,248.1955642979203
1.0,0.3666223912030971,250.2913857265463
2.0,0.49482218758595725,272.12655483067334
3.0,0.5887877082283666,267.37883414545706
4.0,0.6177970757399541,277.8408511399359
5.0,0.6504625279853183,287.70487446564755
6.0,0.6993293505188453,303.49617836722615
7.0,0.7278859060410038,302.30578005120236
8.0,0.7514739870218738,301.9573412628249
9.0,0.7553876957084817,315.1597806739173
10.0,0.7882847124968937,318.15404196237847
11.0,0.7903694414280483,319.4133648812991
12.0,0.7921752353244346,330.5514618235889
13.0,0.8098507095491428,340.86155300101285
14.0,0.8177515832055527,337.84644155582066
15.0,0.8178875553147397,346.97485115836645
16.0,0.8325527799825041,359.1855243497997
17.0,0.8533983722957585,349.7400117240232
18.0,0.8587990205910282,363.78359673575244
19.0,0.8609078777513043,374.98316401091756
20.0,0.8635344707349721,379.49382220810355
