,correlation,rmsd
0.1,0.06030651366816979,279.2521655974862
0.2,0.20092639607287735,279.6798483004913
0.30000000000000004,0.34165147523641043,282.64877380906586
0.4,0.3806468148053427,292.78776794184415
0.5,0.44422945539796244,293.68990600652216
0.6,0.4734561377194247,292.6878921924921
0.7000000000000001,0.4848409793248072,300.180191641394
0.8,0.5549760901865513,303.6849743872186
0.9,0.5777269821941112,306.42616232959324
1.0,0.5962196285193868,309.6074538700383
2.0,0.7240680172616298,336.9261926142337
3.0,0.7501207552343733,370.5039939926891
4.0,0.7877896992775055,378.88894487504353
5.0,0.8122387944018161,386.4665104749745
6.0,0.8212996098508992,402.83577399363065
7.0,0.8502367343955488,414.6133577950166
8.0,0.8500932098611083,434.5835567956973
9.0,0.8608176938830852,455.4262022851639
10.0,0.8874623122031582,453.9900488814023
11.0,0.880825133773948,469.1977487762951
12.0,0.8832753992817056,484.46945710860496
13.0,0.8824727205241281,497.78752492292523
14.0,0.8964958436496802,501.0671027621155
15.0,0.8955713413203376,513.6531155800144
16.0,0.8992204486569495,528.1992631486582
17.0,0.9062867692304625,528.1413334366276
18.0,0.907479090438522,541.1972084347108
19.0,0.9093588691749641,544.3382561834725
20.0,0.9079363833107087,545.4083129577094
