 

stn;time;htoauths
SLFFIR;1998102517;7
SLFFIR;1998102518;7
SLFFIR;1998102519;5
SLFFIR;1998102520;8
SLFFIR;1998102521;12
SLFFIR;1998102522;16
SLFFIR;1998102523;16
SLFFIR;1998102600;15
SLFFIR;1998102601;22
SLFFIR;1998102602;21
SLFFIR;1998102603;21
SLFFIR;1998102604;21
SLFFIR;1998102605;21
SLFFIR;1998102606;20
SLFFIR;1998102607;25
SLFFIR;1998102608;28
SLFFIR;1998102609;27
SLFFIR;1998102610;26
SLFFIR;1998102611;24
SLFFIR;1998102612;24
SLFFIR;1998102613;23
SLFFIR;1998102614;22
SLFFIR;1998102615;23
SLFFIR;1998102616;23
SLFFIR;1998102617;23
SLFFIR;1998102618;23
SLFFIR;1998102619;27
SLFFIR;1998102620;31
SLFFIR;1998102621;31
SLFFIR;1998102622;32
SLFFIR;1998102623;32
SLFFIR;1998102700;37
SLFFIR;1998102701;40
SLFFIR;1998102702;42
SLFFIR;1998102703;41
SLFFIR;1998102704;42
SLFFIR;1998102705;42
SLFFIR;1998102706;41
SLFFIR;1998102707;41
SLFFIR;1998102708;39
SLFFIR;1998102709;40
SLFFIR;1998102710;40
SLFFIR;1998102711;39
SLFFIR;1998102712;38
SLFFIR;1998102713;37
SLFFIR;1998102714;37
SLFFIR;1998102715;37
SLFFIR;1998102716;37
SLFFIR;1998102717;37
SLFFIR;1998102718;37
SLFFIR;1998102719;37
SLFFIR;1998102720;36
SLFFIR;1998102721;35
SLFFIR;1998102722;35
SLFFIR;1998102723;35
SLFFIR;1998102800;35
SLFFIR;1998102801;34
SLFFIR;1998102802;33
SLFFIR;1998102803;33
SLFFIR;1998102804;33
SLFFIR;1998102805;33
SLFFIR;1998102806;33
SLFFIR;1998102807;32
SLFFIR;1998102808;31
SLFFIR;1998102809;30
SLFFIR;1998102810;27
SLFFIR;1998102811;25
SLFFIR;1998102812;24
SLFFIR;1998102813;22
SLFFIR;1998102814;21
SLFFIR;1998102815;21
SLFFIR;1998102816;21
SLFFIR;1998102817;20
SLFFIR;1998102818;20
SLFFIR;1998102819;19
SLFFIR;1998102820;19
SLFFIR;1998102821;19
SLFFIR;1998102822;18
SLFFIR;1998102823;17
SLFFIR;1998102900;16
SLFFIR;1998102901;15
SLFFIR;1998102902;15
SLFFIR;1998102903;14
SLFFIR;1998102904;14
SLFFIR;1998102905;14
SLFFIR;1998102906;14
SLFFIR;1998102907;14
SLFFIR;1998102908;14
SLFFIR;1998102909;14
SLFFIR;1998102910;13
SLFFIR;1998102911;13
SLFFIR;1998102912;12
SLFFIR;1998102913;14
SLFFIR;1998102914;18
SLFFIR;1998102915;24
SLFFIR;1998102916;24
SLFFIR;1998102917;25
SLFFIR;1998102918;25
SLFFIR;1998102919;26
SLFFIR;1998102920;26
SLFFIR;1998102921;27
SLFFIR;1998102922;26
SLFFIR;1998102923;27
SLFFIR;1998103000;27
SLFFIR;1998103001;26
SLFFIR;1998103002;26
SLFFIR;1998103003;25
SLFFIR;1998103004;25
SLFFIR;1998103005;25
SLFFIR;1998103006;25
SLFFIR;1998103007;24
SLFFIR;1998103008;24
SLFFIR;1998103009;24
SLFFIR;1998103010;24
SLFFIR;1998103011;23
SLFFIR;1998103012;23
SLFFIR;1998103013;22
SLFFIR;1998103014;23
SLFFIR;1998103015;25
SLFFIR;1998103016;27
SLFFIR;1998103017;27
SLFFIR;1998103018;29
SLFFIR;1998103019;31
SLFFIR;1998103020;34
SLFFIR;1998103021;37
SLFFIR;1998103022;39
SLFFIR;1998103023;40
SLFFIR;1998103100;40
SLFFIR;1998103101;40
SLFFIR;1998103102;40
SLFFIR;1998103103;40
SLFFIR;1998103104;40
SLFFIR;1998103105;39
SLFFIR;1998103106;39
SLFFIR;1998103107;39
SLFFIR;1998103108;39
SLFFIR;1998103109;38
SLFFIR;1998103110;39
SLFFIR;1998103111;38
SLFFIR;1998103112;37
SLFFIR;1998103113;38
SLFFIR;1998103114;38
SLFFIR;1998103115;39
SLFFIR;1998103116;39
SLFFIR;1998103117;38
SLFFIR;1998103118;38
SLFFIR;1998103119;38
SLFFIR;1998103120;38
SLFFIR;1998103121;38
SLFFIR;1998103122;37
SLFFIR;1998103123;37
SLFFIR;1998110100;36
SLFFIR;1998110101;35
SLFFIR;1998110102;34
SLFFIR;1998110103;34
SLFFIR;1998110104;33
SLFFIR;1998110105;32
SLFFIR;1998110106;32
SLFFIR;1998110107;31
SLFFIR;1998110108;31
SLFFIR;1998110109;31
SLFFIR;1998110110;31
SLFFIR;1998110111;31
SLFFIR;1998110112;32
SLFFIR;1998110113;31
SLFFIR;1998110114;32
SLFFIR;1998110115;32
SLFFIR;1998110116;33
SLFFIR;1998110117;34
SLFFIR;1998110118;35
SLFFIR;1998110119;36
SLFFIR;1998110120;36
SLFFIR;1998110121;36
SLFFIR;1998110122;36
SLFFIR;1998110123;37
SLFFIR;1998110200;37
SLFFIR;1998110201;37
SLFFIR;1998110202;37
SLFFIR;1998110203;37
SLFFIR;1998110204;36
SLFFIR;1998110205;36
SLFFIR;1998110206;36
SLFFIR;1998110207;36
SLFFIR;1998110208;36
SLFFIR;1998110209;34
SLFFIR;1998110210;32
SLFFIR;1998110211;31
SLFFIR;1998110212;31
SLFFIR;1998110213;30
SLFFIR;1998110214;33
SLFFIR;1998110215;32
SLFFIR;1998110216;35
SLFFIR;1998110217;34
SLFFIR;1998110218;35
SLFFIR;1998110219;35
SLFFIR;1998110220;34
SLFFIR;1998110221;34
SLFFIR;1998110222;35
SLFFIR;1998110223;35
SLFFIR;1998110300;35
SLFFIR;1998110301;35
SLFFIR;1998110302;34
SLFFIR;1998110303;34
SLFFIR;1998110304;34
SLFFIR;1998110305;34
SLFFIR;1998110306;34
SLFFIR;1998110307;34
SLFFIR;1998110308;34
SLFFIR;1998110309;34
SLFFIR;1998110310;34
SLFFIR;1998110311;34
SLFFIR;1998110312;33
SLFFIR;1998110313;33
SLFFIR;1998110314;33
SLFFIR;1998110315;34
SLFFIR;1998110316;34
SLFFIR;1998110317;34
SLFFIR;1998110318;34
SLFFIR;1998110319;34
SLFFIR;1998110320;34
SLFFIR;1998110321;34
SLFFIR;1998110322;34
SLFFIR;1998110323;34
SLFFIR;1998110400;34
SLFFIR;1998110401;35
SLFFIR;1998110402;34
SLFFIR;1998110403;33
SLFFIR;1998110404;34
SLFFIR;1998110405;34
SLFFIR;1998110406;36
SLFFIR;1998110407;35
SLFFIR;1998110408;36
SLFFIR;1998110409;39
SLFFIR;1998110410;41
SLFFIR;1998110411;44
SLFFIR;1998110412;44
SLFFIR;1998110413;46
SLFFIR;1998110414;45
SLFFIR;1998110415;47
SLFFIR;1998110416;48
SLFFIR;1998110417;49
SLFFIR;1998110418;49
SLFFIR;1998110419;49
SLFFIR;1998110420;49
SLFFIR;1998110421;49
SLFFIR;1998110422;48
SLFFIR;1998110423;48
SLFFIR;1998110500;48
SLFFIR;1998110501;47
SLFFIR;1998110502;47
SLFFIR;1998110503;47
SLFFIR;1998110504;51
SLFFIR;1998110505;54
SLFFIR;1998110506;54
SLFFIR;1998110507;53
SLFFIR;1998110508;52
SLFFIR;1998110509;51
SLFFIR;1998110510;50
SLFFIR;1998110511;51
SLFFIR;1998110512;51
SLFFIR;1998110513;50
SLFFIR;1998110514;49
SLFFIR;1998110515;50
SLFFIR;1998110516;50
SLFFIR;1998110517;50
SLFFIR;1998110518;49
SLFFIR;1998110519;49
SLFFIR;1998110520;49
SLFFIR;1998110521;49
SLFFIR;1998110522;49
SLFFIR;1998110523;49
SLFFIR;1998110600;49
SLFFIR;1998110601;49
SLFFIR;1998110602;48
SLFFIR;1998110603;48
SLFFIR;1998110604;48
SLFFIR;1998110605;48
SLFFIR;1998110606;48
SLFFIR;1998110607;48
SLFFIR;1998110608;48
SLFFIR;1998110609;45
SLFFIR;1998110610;43
SLFFIR;1998110611;45
SLFFIR;1998110612;45
SLFFIR;1998110613;41
SLFFIR;1998110614;41
SLFFIR;1998110615;45
SLFFIR;1998110616;47
SLFFIR;1998110617;48
SLFFIR;1998110618;47
SLFFIR;1998110619;47
SLFFIR;1998110620;47
SLFFIR;1998110621;47
SLFFIR;1998110622;47
SLFFIR;1998110623;47
SLFFIR;1998110700;47
SLFFIR;1998110701;47
SLFFIR;1998110702;47
SLFFIR;1998110703;47
SLFFIR;1998110704;46
SLFFIR;1998110705;47
SLFFIR;1998110706;46
SLFFIR;1998110707;46
SLFFIR;1998110708;46
SLFFIR;1998110709;43
SLFFIR;1998110710;42
SLFFIR;1998110711;40
SLFFIR;1998110712;42
SLFFIR;1998110713;42
SLFFIR;1998110714;43
SLFFIR;1998110715;44
SLFFIR;1998110716;45
SLFFIR;1998110717;45
SLFFIR;1998110718;45
SLFFIR;1998110719;45
SLFFIR;1998110720;45
SLFFIR;1998110721;44
SLFFIR;1998110722;45
SLFFIR;1998110723;45
SLFFIR;1998110800;44
SLFFIR;1998110801;44
SLFFIR;1998110802;44
SLFFIR;1998110803;44
SLFFIR;1998110804;43
SLFFIR;1998110805;43
SLFFIR;1998110806;44
SLFFIR;1998110807;43
SLFFIR;1998110808;43
SLFFIR;1998110809;41
SLFFIR;1998110810;38
SLFFIR;1998110811;41
SLFFIR;1998110812;41
SLFFIR;1998110813;42
SLFFIR;1998110814;42
SLFFIR;1998110815;43
SLFFIR;1998110816;43
SLFFIR;1998110817;43
SLFFIR;1998110818;44
SLFFIR;1998110819;44
SLFFIR;1998110820;43
SLFFIR;1998110821;43
SLFFIR;1998110822;43
SLFFIR;1998110823;44
SLFFIR;1998110900;43
SLFFIR;1998110901;43
SLFFIR;1998110902;43
SLFFIR;1998110903;43
SLFFIR;1998110904;43
SLFFIR;1998110905;43
SLFFIR;1998110906;44
SLFFIR;1998110907;43
SLFFIR;1998110908;43
SLFFIR;1998110909;43
SLFFIR;1998110910;42
SLFFIR;1998110911;40
SLFFIR;1998110912;39
SLFFIR;1998110913;39
SLFFIR;1998110914;38
SLFFIR;1998110915;38
SLFFIR;1998110916;38
SLFFIR;1998110917;38
SLFFIR;1998110918;38
SLFFIR;1998110919;38
SLFFIR;1998110920;38
SLFFIR;1998110921;38
SLFFIR;1998110922;38
SLFFIR;1998110923;38
SLFFIR;1998111000;37
SLFFIR;1998111001;37
SLFFIR;1998111002;37
SLFFIR;1998111003;37
SLFFIR;1998111004;36
SLFFIR;1998111005;36
SLFFIR;1998111006;36
SLFFIR;1998111007;36
SLFFIR;1998111008;36
SLFFIR;1998111009;35
SLFFIR;1998111010;35
SLFFIR;1998111011;34
SLFFIR;1998111012;34
SLFFIR;1998111013;33
SLFFIR;1998111014;32
SLFFIR;1998111015;32
SLFFIR;1998111016;34
SLFFIR;1998111017;34
SLFFIR;1998111018;36
SLFFIR;1998111019;37
SLFFIR;1998111020;37
SLFFIR;1998111021;36
SLFFIR;1998111022;40
SLFFIR;1998111023;42
SLFFIR;1998111100;43
SLFFIR;1998111101;44
SLFFIR;1998111102;45
SLFFIR;1998111103;46
SLFFIR;1998111104;46
SLFFIR;1998111105;46
SLFFIR;1998111106;47
SLFFIR;1998111107;47
SLFFIR;1998111108;46
SLFFIR;1998111109;46
SLFFIR;1998111110;46
SLFFIR;1998111111;42
SLFFIR;1998111112;45
SLFFIR;1998111113;41
SLFFIR;1998111114;44
SLFFIR;1998111115;45
SLFFIR;1998111116;45
SLFFIR;1998111117;45
SLFFIR;1998111118;44
SLFFIR;1998111119;44
SLFFIR;1998111120;44
SLFFIR;1998111121;45
SLFFIR;1998111122;46
SLFFIR;1998111123;45
SLFFIR;1998111200;45
SLFFIR;1998111201;45
SLFFIR;1998111202;45
SLFFIR;1998111203;45
SLFFIR;1998111204;45
SLFFIR;1998111205;45
SLFFIR;1998111206;45
SLFFIR;1998111207;45
SLFFIR;1998111208;44
SLFFIR;1998111209;43
SLFFIR;1998111210;42
SLFFIR;1998111211;41
SLFFIR;1998111212;41
SLFFIR;1998111213;42
SLFFIR;1998111214;44
SLFFIR;1998111215;44
SLFFIR;1998111216;44
SLFFIR;1998111217;44
SLFFIR;1998111218;44
SLFFIR;1998111219;45
SLFFIR;1998111220;45
SLFFIR;1998111221;46
SLFFIR;1998111222;45
SLFFIR;1998111223;46
SLFFIR;1998111300;49
SLFFIR;1998111301;49
SLFFIR;1998111302;50
SLFFIR;1998111303;50
SLFFIR;1998111304;50
SLFFIR;1998111305;50
SLFFIR;1998111306;49
SLFFIR;1998111307;49
SLFFIR;1998111308;49
SLFFIR;1998111309;47
SLFFIR;1998111310;46
SLFFIR;1998111311;43
SLFFIR;1998111312;46
SLFFIR;1998111313;46
SLFFIR;1998111314;47
SLFFIR;1998111315;48
SLFFIR;1998111316;48
SLFFIR;1998111317;48
SLFFIR;1998111318;48
SLFFIR;1998111319;48
SLFFIR;1998111320;47
SLFFIR;1998111321;48
SLFFIR;1998111322;47
SLFFIR;1998111323;47
SLFFIR;1998111400;47
SLFFIR;1998111401;47
SLFFIR;1998111402;47
SLFFIR;1998111403;47
SLFFIR;1998111404;47
SLFFIR;1998111405;47
SLFFIR;1998111406;47
SLFFIR;1998111407;47
SLFFIR;1998111408;48
SLFFIR;1998111409;48
SLFFIR;1998111410;49
SLFFIR;1998111411;50
SLFFIR;1998111412;51
SLFFIR;1998111413;52
SLFFIR;1998111414;51
SLFFIR;1998111415;50
SLFFIR;1998111416;50
SLFFIR;1998111417;52
SLFFIR;1998111418;52
SLFFIR;1998111419;51
SLFFIR;1998111420;51
SLFFIR;1998111421;50
SLFFIR;1998111422;50
SLFFIR;1998111423;52
SLFFIR;1998111500;57
SLFFIR;1998111501;-
SLFFIR;1998111502;-
SLFFIR;1998111503;63
SLFFIR;1998111504;64
SLFFIR;1998111505;64
SLFFIR;1998111506;66
SLFFIR;1998111507;-
SLFFIR;1998111508;68
SLFFIR;1998111509;68
SLFFIR;1998111510;69
SLFFIR;1998111511;70
SLFFIR;1998111512;71
SLFFIR;1998111513;72
SLFFIR;1998111514;72
SLFFIR;1998111515;72
SLFFIR;1998111516;72
SLFFIR;1998111517;77
SLFFIR;1998111518;76
SLFFIR;1998111519;80
SLFFIR;1998111520;82
SLFFIR;1998111521;84
SLFFIR;1998111522;86
SLFFIR;1998111523;89
SLFFIR;1998111600;88
SLFFIR;1998111601;88
SLFFIR;1998111602;87
SLFFIR;1998111603;86
SLFFIR;1998111604;87
SLFFIR;1998111605;87
SLFFIR;1998111606;88
SLFFIR;1998111607;88
SLFFIR;1998111608;89
SLFFIR;1998111609;90
SLFFIR;1998111610;90
SLFFIR;1998111611;94
SLFFIR;1998111612;99
SLFFIR;1998111613;99
SLFFIR;1998111614;103
SLFFIR;1998111615;108
SLFFIR;1998111616;108
SLFFIR;1998111617;105
SLFFIR;1998111618;109
SLFFIR;1998111619;109
SLFFIR;1998111620;107
SLFFIR;1998111621;107
SLFFIR;1998111622;110
SLFFIR;1998111623;112
SLFFIR;1998111700;112
SLFFIR;1998111701;109
SLFFIR;1998111702;111
SLFFIR;1998111703;111
SLFFIR;1998111704;110
SLFFIR;1998111705;109
SLFFIR;1998111706;108
SLFFIR;1998111707;108
SLFFIR;1998111708;107
SLFFIR;1998111709;104
SLFFIR;1998111710;99
SLFFIR;1998111711;101
SLFFIR;1998111712;99
SLFFIR;1998111713;97
SLFFIR;1998111714;98
SLFFIR;1998111715;99
SLFFIR;1998111716;100
SLFFIR;1998111717;100
SLFFIR;1998111718;100
SLFFIR;1998111719;99
SLFFIR;1998111720;99
SLFFIR;1998111721;98
SLFFIR;1998111722;97
SLFFIR;1998111723;97
SLFFIR;1998111800;96
SLFFIR;1998111801;96
SLFFIR;1998111802;95
SLFFIR;1998111803;95
SLFFIR;1998111804;95
SLFFIR;1998111805;94
SLFFIR;1998111806;94
SLFFIR;1998111807;93
SLFFIR;1998111808;92
SLFFIR;1998111809;90
SLFFIR;1998111810;87
SLFFIR;1998111811;85
SLFFIR;1998111812;84
SLFFIR;1998111813;86
SLFFIR;1998111814;88
SLFFIR;1998111815;89
SLFFIR;1998111816;89
SLFFIR;1998111817;89
SLFFIR;1998111818;89
SLFFIR;1998111819;88
SLFFIR;1998111820;88
SLFFIR;1998111821;87
SLFFIR;1998111822;87
