,correlation,rmsd,amp_diff
0.1,-0.5337786803759583,356.698481097603,281.0
0.2,-0.41483807496562997,390.32749878447646,281.0
0.30000000000000004,-0.30080831081930653,388.83919888319554,489.0
0.4,-0.2539275674765086,413.2156668942528,593.0
0.5,-0.2085620335508117,430.0303444938643,697.0
0.6,-0.1605258768351627,434.8102344113482,801.0
0.7000000000000001,-0.10393420497566644,439.34999721370855,697.0
0.8,-0.0480302919976929,443.61850049183613,697.0
0.9,-0.023664062128594062,457.69926192733226,905.0
1.0,0.026853169701054756,454.36473222629775,905.0
2.0,0.25568794246343374,484.8717812073386,1009.0
3.0,0.3828623605934046,479.5392495158067,1217.0
4.0,0.4810708372034217,498.06647363673414,1529.0
5.0,0.5254646860646824,508.4264509712804,1529.0
6.0,0.5532467863957886,501.33296696651166,1737.0
7.0,0.5880670718222334,510.93969710879384,1737.0
8.0,0.6225989319427231,520.327669866976,1945.0
9.0,0.6516110109753346,519.7937540778848,2257.0
10.0,0.6550896064367805,511.06029202289335,2257.0
11.0,0.663282110244003,522.2859981591599,2361.0
12.0,0.6727620722201686,526.0407259077687,2569.0
13.0,0.6975240070686177,529.9298613959741,2569.0
14.0,0.7209749836668877,519.4615919580509,2569.0
15.0,0.7289026495056999,527.4148902130305,2569.0
16.0,0.7184921821985233,537.8825789962583,2881.0
17.0,0.7440043736827358,527.5896176144844,2881.0
18.0,0.7412897395068019,532.0901415451112,2881.0
19.0,0.746735590395907,540.2159095784414,2881.0
20.0,0.7641149589311966,536.4606833529411,2881.0
