,correlation,rmsd,amp_diff
0.1,-0.4878430749243218,382.3912311666744,385.0
0.2,-0.3323816033742441,404.9747505741724,385.0
0.30000000000000004,-0.2675126027375685,409.92888612890243,593.0
0.4,-0.21144256012893542,438.2421970161908,697.0
0.5,-0.1416805995065097,447.69850519081535,697.0
0.6,-0.04864075832916059,451.5793366830737,801.0
0.7000000000000001,-0.01729379420358137,456.5251215367754,905.0
0.8,0.037150453894418345,466.88357760311067,1009.0
0.9,0.10406653236604985,456.46393119540426,1009.0
1.0,0.10804636440102969,479.22428954701945,1009.0
2.0,0.3624597589273073,473.0098381872483,1217.0
3.0,0.45983598783754687,499.8591572240502,1321.0
4.0,0.5226950013923526,508.61187015364516,1633.0
5.0,0.5712826255983839,512.1823713396523,1841.0
6.0,0.6246400184230315,518.5715271295325,2257.0
7.0,0.6478098330174358,516.9668428053436,2361.0
8.0,0.6565252663696429,529.8296821716722,2361.0
9.0,0.6884036944435669,520.681632676167,2465.0
10.0,0.7058417249455351,516.2732584724555,2569.0
11.0,0.7205215968266042,528.5207720169915,2569.0
12.0,0.7441178222237769,532.8496265683347,2777.0
13.0,0.7396007768327919,544.2202760980514,2881.0
14.0,0.7426551238523752,541.1590128162461,2777.0
15.0,0.7700843161012585,540.4463589447228,2881.0
16.0,0.7769193717389172,541.2464559182093,2881.0
17.0,0.7813129573102723,542.3619330297158,2881.0
18.0,0.7931127072135792,537.8862987330032,2881.0
19.0,0.7871672194188463,536.1565502098678,2881.0
20.0,0.8068749948661403,538.8892417932421,2881.0
