,correlation,rmsd,amp_diff
0.1,-0.47092989049273887,405.92291133388034,593.0
0.2,-0.2663880464605905,450.0149419085972,801.0
0.30000000000000004,-0.1553698090546273,464.42461615074063,801.0
0.4,-0.07440891810056667,476.7993495014599,905.0
0.5,-0.019150690313448692,497.273725682031,1009.0
0.6,0.07599771655533376,488.4008070154146,905.0
0.7000000000000001,0.12929822791451584,482.78788822458813,1009.0
0.8,0.17085054096792124,489.61796405933075,1009.0
0.9,0.20696505529836196,494.45537490458014,1009.0
1.0,0.22640320457911353,505.20267366219866,1009.0
2.0,0.4452534832116815,502.8524915593898,1529.0
3.0,0.5386311573095262,520.0399517586535,1841.0
4.0,0.5825011757384431,531.8721882526073,2257.0
5.0,0.6313271304001942,530.8638424500851,2465.0
6.0,0.6583565133942059,537.1873863144114,2465.0
7.0,0.6831538539785053,532.8188732793886,2777.0
8.0,0.7158944348925942,534.0471073867722,2777.0
9.0,0.7410230563508754,540.4106828462849,2881.0
10.0,0.7508972849334983,554.4994796964891,2881.0
11.0,0.7746876815588467,550.4693556640888,2881.0
12.0,0.7714491978380073,562.9711648895689,2881.0
13.0,0.7938087295815938,554.9495846932825,2881.0
14.0,0.8085619936828975,555.7467009059677,2881.0
15.0,0.8217786979200612,556.5193651149497,2881.0
16.0,0.8273025489980117,574.5127331970784,2985.0
17.0,0.8307990753896154,570.5488573767166,2985.0
18.0,0.8415816714554195,563.1346445818155,2985.0
19.0,0.8615136134270751,563.1619403559412,2985.0
20.0,0.8578948322753861,573.1641979749915,2985.0
