,correlation,rmsd,amp_diff
0.1,-0.39847132904930166,396.3148096287314,489.0
0.2,-0.22396562631808134,427.6361055913581,697.0
0.30000000000000004,-0.12015445394519929,445.08999106218465,905.0
0.4,0.005086039739698695,447.55183278947186,905.0
0.5,0.051019736807430986,472.762402664154,905.0
0.6,0.12375551940573293,460.9128260575805,1009.0
0.7000000000000001,0.19004951493552336,482.5986996298442,1009.0
0.8,0.22943825356198616,475.8738305249008,1113.0
0.9,0.2875070773632535,470.43116867176957,1113.0
1.0,0.291893254096397,474.91116658790145,1113.0
2.0,0.5011856322959164,490.50138281804016,1425.0
3.0,0.5929229068691269,511.8245703021465,1945.0
4.0,0.6296152806811448,513.6515762692138,2257.0
5.0,0.6910586712489605,510.37359693028793,2465.0
6.0,0.7033110709823821,528.7892611367192,2465.0
7.0,0.7280764572779962,515.4554458914458,2881.0
8.0,0.7550743689693332,533.2071225899813,2881.0
9.0,0.767919635099422,539.609170176672,2881.0
10.0,0.7804078380713859,540.9921198271984,2881.0
11.0,0.7939402376621875,537.3324586887037,2881.0
12.0,0.8117875256759688,541.0434497101736,2881.0
13.0,0.83104955142377,544.7602993292755,2881.0
14.0,0.8390398516699591,549.5055701127147,2881.0
15.0,0.8385217065065642,552.4811971463245,2881.0
16.0,0.8521801870632135,564.3820230458815,2881.0
17.0,0.8588205745856746,562.5673955977946,2985.0
18.0,0.8687939483715703,565.2781135997443,2985.0
19.0,0.8798723215808577,570.5614540077297,3089.0
20.0,0.8939360332198507,566.5416376071367,3089.0
