,correlation,rmsd,amp_diff
0.1,-0.44067141726884684,390.39291186954074,385.0
0.2,-0.262475167695272,414.3885967806112,593.0
0.30000000000000004,-0.19045846331331331,434.71802864500563,697.0
0.4,-0.09092789444902782,431.78777629121873,801.0
0.5,-0.06348213762898612,464.0943071586292,905.0
0.6,0.020785495550278192,459.48878230765536,905.0
0.7000000000000001,0.08215545553335996,475.5665650852708,1009.0
0.8,0.12662159539632725,475.29649420285995,1009.0
0.9,0.16852088167022558,478.3237991023114,1113.0
1.0,0.2371059397710228,469.0416345090591,1113.0
2.0,0.4448957465529239,487.10495601879074,1321.0
3.0,0.5321329089224871,502.7771598955584,1529.0
4.0,0.5848528364971868,517.1848905184181,1945.0
5.0,0.6255020822655925,521.3515069623354,2257.0
6.0,0.6619356207983613,516.2235029259992,2465.0
7.0,0.6733671193721704,520.8574090589523,2361.0
8.0,0.7086294612495463,530.0899967330374,2673.0
9.0,0.727109216616239,529.6853903080137,2777.0
10.0,0.7438428151816474,529.8494289448975,2881.0
11.0,0.7640532257295674,537.7706781658719,2881.0
12.0,0.7671106942055449,533.1371048274946,2881.0
13.0,0.783445599445555,537.3033659041928,2881.0
14.0,0.7894806039643326,543.2860519232026,2881.0
15.0,0.8020788989965473,538.6723555105708,2881.0
16.0,0.8129934226271142,538.4064423997565,2881.0
17.0,0.8335332999048782,538.8117503602846,2881.0
18.0,0.8351671931868064,538.3662613357582,2881.0
19.0,0.845457030614023,560.2561536906647,2881.0
20.0,0.8407950359248519,556.1148229844623,2881.0
