,correlation,rmsd,amp_diff
0.1,-0.5368456862353455,374.27177366086016,385.0
0.2,-0.412316300701458,414.88803528702874,489.0
0.30000000000000004,-0.3175915216767849,433.2417074730782,801.0
0.4,-0.25139294481484264,463.02110156116083,801.0
0.5,-0.17986005435415353,469.39658474529455,905.0
0.6,-0.11215596277931338,476.34330341677344,905.0
0.7000000000000001,-0.08485018744539193,479.62312078254666,801.0
0.8,-0.024932619133945056,479.4712052185997,905.0
0.9,0.008042296226885614,492.75204546240013,905.0
1.0,0.06317687431245828,491.1923810362247,905.0
2.0,0.2862373276853835,514.501482223858,1217.0
3.0,0.41233351571561133,508.16246211767424,1321.0
4.0,0.4741996274268441,514.3285011018094,1633.0
5.0,0.5209341670644607,525.9629714193775,1841.0
6.0,0.5602380473913394,534.5435971550482,2049.0
7.0,0.5925840676843941,529.7944211148249,2361.0
8.0,0.6207452875003049,535.2257777657538,2361.0
9.0,0.6452161787045224,533.257943531902,2361.0
10.0,0.6532644182146747,534.192248453529,2465.0
11.0,0.6696849716748556,545.3002566152795,2569.0
12.0,0.6842981356701884,544.2194350142536,2777.0
13.0,0.6961414821400251,543.9943819001277,2777.0
14.0,0.7221183573133885,539.0903728270818,2881.0
15.0,0.7187522197374039,544.1957838605122,2777.0
16.0,0.7298601150380161,543.8907629120826,2881.0
17.0,0.7390525832344607,555.1528001430531,2881.0
18.0,0.7612780951389002,556.0030959429128,2881.0
19.0,0.7665042262307535,559.0382925709778,2881.0
20.0,0.7796378766904918,559.8198230514301,2881.0
