,correlation,rmsd,amp_diff
0.1,-0.571963469146339,327.64896084794475,177.0
0.2,-0.4879998542168361,361.7993631381122,281.0
0.30000000000000004,-0.4100755716597807,368.52329402037367,385.0
0.4,-0.3111746571556935,388.9990878130579,385.0
0.5,-0.26823336694046473,402.64915072980114,489.0
0.6,-0.23680550663267994,416.9492770239515,593.0
0.7000000000000001,-0.19630152646132407,415.6518995240036,489.0
0.8,-0.1567610206758353,424.4128086350972,697.0
0.9,-0.10915867069530612,439.32875593103927,697.0
1.0,-0.07621276360457231,432.715463781749,801.0
2.0,0.14509834721682163,467.4616738456174,1009.0
3.0,0.307795925731692,471.2317487646079,1113.0
4.0,0.3652464716363339,482.0568421900121,1113.0
5.0,0.4572409240071861,494.72061796226745,1217.0
6.0,0.48003654930512085,493.86564576439366,1321.0
7.0,0.5243577297819064,500.44955166782773,1529.0
8.0,0.560868256580156,507.68843110499154,1737.0
9.0,0.5862914958426152,502.1351808312246,1633.0
10.0,0.5997754958461139,510.7055590482671,1737.0
11.0,0.6213041013049803,518.3837343600034,2049.0
12.0,0.6199058272060384,521.8325563443306,2049.0
13.0,0.6520630587701232,517.6789956153489,2361.0
14.0,0.6488315594644553,513.0793613499235,2257.0
15.0,0.6620495569732019,521.4236611162979,2361.0
16.0,0.6718595841855076,523.9617186040912,2465.0
17.0,0.6878180852792655,520.654874893085,2569.0
18.0,0.6882856596954624,527.7376632111442,2569.0
19.0,0.7033870571026767,524.4712764454327,2569.0
20.0,0.7208217260226674,528.4946940116532,2569.0
