,correlation,rmsd,amp_diff
0.1,-0.5084107137591934,372.21103347326715,281.0
0.2,-0.3939006117319691,396.17639720928537,385.0
0.30000000000000004,-0.29620008693936284,412.123172878213,593.0
0.4,-0.23494501920015876,426.9278430203284,697.0
0.5,-0.16616650733071608,438.3919553202557,801.0
0.6,-0.10425518012133454,445.840960336921,801.0
0.7000000000000001,-0.052946839217312955,452.0359495432589,801.0
0.8,-0.01764820772184675,458.97629602387394,801.0
0.9,0.030336576337527312,453.49804217498206,905.0
1.0,0.058835084346788816,458.8482638646181,905.0
2.0,0.3243852742767115,473.1456224991824,1113.0
3.0,0.4231025620631206,488.2459611583927,1217.0
4.0,0.49309731076580715,504.01878708920896,1633.0
5.0,0.5610356465833501,505.1451763646176,1737.0
6.0,0.5928883599996604,511.09822673293127,1841.0
7.0,0.6344894003212526,514.9317290116367,1945.0
8.0,0.6446884198847607,521.4054984876577,2361.0
9.0,0.6584517361624226,513.7798733568601,2361.0
10.0,0.6708658979056087,523.8235905027942,2361.0
11.0,0.6844084727925936,525.4236824563238,2569.0
12.0,0.7034659132522361,529.9205104574991,2569.0
13.0,0.7231130245095974,520.1589071114972,2569.0
14.0,0.7310821219434442,529.4513670922005,2881.0
15.0,0.737705955137939,533.9416175664987,2881.0
16.0,0.7388572684780097,547.1463032011588,2881.0
17.0,0.7641972094119088,546.4578165359484,2881.0
18.0,0.7651749234238946,542.2089267451743,2881.0
19.0,0.775597386785702,541.9642309581109,2881.0
20.0,0.7896223926082978,539.5356661436471,2881.0
