,correlation,rmsd,amp_diff
0.1,-0.5742949828020175,311.71190741402415,73.0
0.2,-0.5578472091157402,330.91607523167926,281.0
0.30000000000000004,-0.41545045644690953,334.68624408948955,177.0
0.4,-0.3727058709466185,361.55671568882934,385.0
0.5,-0.36430749829372655,373.56907536599533,385.0
0.6,-0.3241600722299813,392.92819577592957,385.0
0.7000000000000001,-0.27395311347238943,398.1229234387674,385.0
0.8,-0.23345460421938063,404.53848965432263,489.0
0.9,-0.23621766301439692,415.9771032870957,489.0
1.0,-0.19191515963120842,424.5219083190146,593.0
2.0,0.0069768170925075925,457.265579907858,905.0
3.0,0.16449400951565105,470.5369253337182,1009.0
4.0,0.26833457386231974,470.5094534920804,1113.0
5.0,0.3295290199775242,470.2306066189376,1113.0
6.0,0.3735832363138203,487.9778276869557,1113.0
7.0,0.43638645590171343,485.4689793524123,1321.0
8.0,0.46656991539169157,502.948550632878,1321.0
9.0,0.4788933877680667,504.54849639723744,1529.0
10.0,0.5143711850365568,498.3591416082901,1425.0
11.0,0.5516001395416088,503.0707661976995,1529.0
12.0,0.5695878296889187,503.5869254058363,1737.0
13.0,0.5834570959617787,518.550949010183,1841.0
14.0,0.609816925076445,512.1325342415284,1841.0
15.0,0.6093161016110459,514.4899991598346,1633.0
16.0,0.6259549342932299,511.7077238542888,1841.0
17.0,0.6263777905119149,523.4296940595325,2049.0
18.0,0.6330569977451347,509.36524086338386,2153.0
19.0,0.6320131962312746,528.4590937978511,2361.0
20.0,0.6573767945792548,523.7925077835358,2361.0
