,correlation,rmsd,amp_diff
0.1,-0.5321317319983371,383.87739381385273,385.0
0.2,-0.38562710025279473,436.7030447370812,593.0
0.30000000000000004,-0.2785416386457694,448.42563578776213,593.0
0.4,-0.22385751150676858,469.1288975380386,801.0
0.5,-0.13961565102937648,482.1225577075198,905.0
0.6,-0.08065422971646583,479.17757078708826,905.0
0.7000000000000001,-0.030890140411004345,482.952255262168,905.0
0.8,0.018661262907861343,491.2222532499894,905.0
0.9,0.060082394175193024,500.87419712532744,905.0
1.0,0.09124928661465162,497.0172001582738,1009.0
2.0,0.3307983061648007,516.6323438518509,1113.0
3.0,0.43913170380643063,508.32983360093914,1529.0
4.0,0.5172699010359714,518.6302800055155,1633.0
5.0,0.5656798479357057,515.7100522510681,2153.0
6.0,0.5776044273385805,533.757942669152,2257.0
7.0,0.6174083464538981,532.0974971306396,2465.0
8.0,0.6478868382224588,537.4472744281595,2361.0
9.0,0.6695762308939853,538.3762787570085,2569.0
10.0,0.674483925574501,550.217315939321,2777.0
11.0,0.6934315419370868,553.4932981101547,2777.0
12.0,0.7092496447775152,541.512844584092,2881.0
13.0,0.7245243741220337,550.3443159988626,2881.0
14.0,0.729452160039557,553.6332949498112,2777.0
15.0,0.750983280719336,545.5732398644568,2881.0
16.0,0.7587382072974155,558.2569315911626,2881.0
17.0,0.7711428709473768,562.2603116654402,2881.0
18.0,0.7759630644716734,561.3101009905798,2881.0
19.0,0.779103278537663,566.8695144903274,2881.0
20.0,0.8042653115895708,559.3953408192104,2881.0
