,correlation,rmsd,amp_diff
0.1,-0.580384701553751,329.85104784651753,73.0
0.2,-0.4887308052747944,368.0010652308663,281.0
0.30000000000000004,-0.4080746773050952,370.95122161906164,489.0
0.4,-0.3096006631364422,392.8703484278211,489.0
0.5,-0.26556564084679923,395.4853931310069,489.0
0.6,-0.2334513056149093,415.77232050378365,593.0
0.7000000000000001,-0.18043282110243247,417.2236041966318,489.0
0.8,-0.1577863311541944,424.96700709855963,593.0
0.9,-0.11797118975143032,433.9454874808471,801.0
1.0,-0.07199620508729426,438.7874099085586,801.0
2.0,0.1386710278958152,477.284921587938,1009.0
3.0,0.2887736975391183,481.665089115028,1113.0
4.0,0.3716867781418915,488.053443464516,1217.0
5.0,0.44085592976844074,495.6576607325674,1217.0
6.0,0.48177978044285813,491.0920448507057,1529.0
7.0,0.5206517671986568,508.3502842450592,1633.0
8.0,0.5600319601831757,500.7307848972189,1529.0
9.0,0.5677104676856664,518.1727323058233,1841.0
10.0,0.6091592208079167,510.03670543851035,1841.0
11.0,0.6113520422248688,522.4815121350471,1945.0
12.0,0.6230015466207248,517.5304764831609,2049.0
13.0,0.6436149817544266,523.1957299772884,2361.0
14.0,0.6483562510535869,524.1901936647996,2361.0
15.0,0.666061135319805,518.5120340793311,2465.0
16.0,0.660044124472975,527.1433213083228,2569.0
17.0,0.6815063524827059,531.7964740108823,2465.0
18.0,0.6877440892559428,534.150158480574,2465.0
19.0,0.7103668403704114,522.58663251189,2569.0
20.0,0.7027670640415382,526.8516583129018,2569.0
