,correlation,rmsd,amp_diff
0.1,-0.5154944033121988,389.7763121768607,385.0
0.2,-0.3418863596872005,434.0835497579737,697.0
0.30000000000000004,-0.23371756333447727,447.7936832504448,801.0
0.4,-0.1684096442171011,471.9748443956107,801.0
0.5,-0.10118448996331644,481.84275409990215,905.0
0.6,-0.016731904371410145,482.0969293449886,905.0
0.7000000000000001,0.018736212459968586,497.5901299173496,905.0
0.8,0.08574911387056483,497.89574252660844,905.0
0.9,0.12126400536347755,482.02869518527007,1009.0
1.0,0.16068008523282584,489.6256474194098,1009.0
2.0,0.38105783145623745,492.40623161901897,1217.0
3.0,0.4658009252920876,520.3679208734277,1633.0
4.0,0.5425833957390707,525.7502961602895,1945.0
5.0,0.5724108737961875,536.5760693237343,2257.0
6.0,0.6099904379538239,541.8080442103437,2465.0
7.0,0.638308185881896,540.3281600703459,2465.0
8.0,0.663940031871482,539.0172913399756,2569.0
9.0,0.6762637531521426,534.8984892157027,2777.0
10.0,0.7083956421749078,536.996697474294,2777.0
11.0,0.7254080825641783,532.7174440808992,2777.0
12.0,0.734973249887119,551.9182016132582,2881.0
13.0,0.7461579638597652,543.205605544502,2777.0
14.0,0.7630483124925617,558.0645252616106,2881.0
15.0,0.7840540499283174,562.4618521114224,2881.0
16.0,0.781036499955382,560.5666655395556,2881.0
17.0,0.7875528836035257,567.5102464956667,2881.0
18.0,0.8140114002056696,553.00885054349,2881.0
19.0,0.8202611574656452,563.1457847505244,2881.0
20.0,0.821310086591985,560.0947675254826,2881.0
