,correlation,rmsd,amp_diff
0.1,-0.5226261186455196,373.49956442418625,281.0
0.2,-0.37101482003795255,396.29526809695403,385.0
0.30000000000000004,-0.28171928071708024,404.8990229364425,593.0
0.4,-0.2328017231114763,422.8233556352902,697.0
0.5,-0.16394194346581267,438.7296910144385,801.0
0.6,-0.10825753332848648,440.46101511426536,801.0
0.7000000000000001,-0.059628506086248104,454.3741962367488,801.0
0.8,-0.02963399710679125,460.47151872629405,905.0
0.9,0.05041928088777821,448.8983662674335,905.0
1.0,0.07375592816079306,455.35786002112366,905.0
2.0,0.31959930089610067,473.3984627523895,1113.0
3.0,0.4286269285085023,490.1669077368137,1217.0
4.0,0.48635333965386546,498.4076442472974,1633.0
5.0,0.5438414511300442,512.186127004393,1737.0
6.0,0.5897677774080464,510.2989273294875,1737.0
7.0,0.6119558484261071,514.7894984737551,2049.0
8.0,0.6476703305892424,513.7850214204376,2257.0
9.0,0.648738770289015,518.6720247056609,2465.0
10.0,0.6756728457851919,517.0720644005961,2465.0
11.0,0.6822753824848933,521.7558467075851,2569.0
12.0,0.6938135927607237,528.9979111694548,2673.0
13.0,0.7170954354996281,536.9148845727948,2569.0
14.0,0.73073000900338,540.0992301893549,2881.0
15.0,0.7488531004544828,537.5023823799638,2881.0
16.0,0.7505216784787715,542.5521097826875,2881.0
17.0,0.7644000701988887,534.9441037267425,2881.0
18.0,0.7787949252405564,538.3305260812381,2881.0
19.0,0.7807954793355713,539.1902101361687,2881.0
20.0,0.7814361599079166,541.5189631137031,2881.0
