time,EIG,KSE
1930-12-01,132.0,
1931-01-01,178.0,
1931-02-01,268.0,
1931-03-01,128.0,
1931-04-01,183.0,
1931-05-01,172.0,
1931-06-01,125.0,
1931-07-01,259.0,
1931-08-01,247.0,
1931-09-01,118.0,
1931-10-01,33.0,
1931-11-01,46.0,
1931-12-01,81.0,
1932-01-01,98.0,
1932-02-01,10.0,
1932-03-01,104.0,
1932-04-01,189.0,
1932-05-01,229.0,
1932-06-01,214.0,
1932-07-01,277.0,
1932-08-01,155.0,
1932-09-01,80.0,
1932-10-01,129.0,
1932-11-01,73.0,
1932-12-01,53.0,
1933-01-01,88.0,
1933-02-01,107.0,
1933-03-01,105.0,
1933-04-01,142.0,
1933-05-01,290.0,
1933-06-01,242.0,
1933-07-01,138.0,
1933-08-01,78.0,
1933-09-01,192.0,
1933-10-01,169.0,
1933-11-01,160.0,
1933-12-01,27.0,
1934-01-01,189.0,
1934-02-01,43.0,
1934-03-01,142.0,
1934-04-01,124.0,
1934-05-01,81.0,
1934-06-01,273.0,
1934-07-01,186.0,
1934-08-01,218.0,
1934-09-01,129.0,
1934-10-01,126.0,
1934-11-01,31.0,
1934-12-01,111.0,
1935-01-01,180.0,
1935-02-01,200.0,
1935-03-01,173.0,
1935-04-01,224.0,
1935-05-01,147.0,
1935-06-01,113.0,
1935-07-01,130.0,
1935-08-01,317.0,
1935-09-01,81.0,
1935-10-01,350.0,
1935-11-01,134.0,
1935-12-01,183.0,
1936-01-01,98.0,
1936-02-01,123.0,
1936-03-01,91.0,
1936-04-01,168.0,
1936-05-01,152.0,
1936-06-01,187.0,
1936-07-01,302.0,
1936-08-01,157.0,
1936-09-01,293.0,
1936-10-01,77.0,
1936-11-01,36.0,
1936-12-01,118.0,
1937-01-01,55.0,
1937-02-01,159.0,
1937-03-01,174.0,
1937-04-01,170.0,
1937-05-01,227.0,
1937-06-01,155.0,
1937-07-01,179.0,
1937-08-01,224.0,
1937-09-01,211.0,
1937-10-01,116.0,
1937-11-01,97.0,
1937-12-01,76.0,
1938-01-01,107.0,
1938-02-01,101.0,
1938-03-01,71.0,
1938-04-01,81.0,
1938-05-01,185.0,
1938-06-01,186.0,
1938-07-01,268.0,
1938-08-01,241.0,
1938-09-01,131.0,
1938-10-01,101.0,
1938-11-01,31.0,
1938-12-01,85.0,
1939-01-01,108.0,
1939-02-01,41.0,
1939-03-01,209.0,
1939-04-01,186.0,
1939-05-01,369.0,
1939-06-01,222.0,
1939-07-01,197.0,
1939-08-01,138.0,
1939-09-01,117.0,
1939-10-01,223.0,
1939-11-01,244.0,
1939-12-01,110.0,
1940-01-01,98.0,
1940-02-01,120.0,
1940-03-01,114.0,
1940-04-01,133.0,
1940-05-01,258.0,
1940-06-01,176.0,
1940-07-01,320.0,
1940-08-01,106.0,
1940-09-01,194.0,
1940-10-01,188.0,
1940-11-01,138.0,
1940-12-01,102.0,
1941-01-01,23.0,
1941-02-01,103.0,
1941-03-01,116.0,
1941-04-01,154.0,
1941-05-01,332.0,
1941-06-01,167.0,
1941-07-01,205.0,
1941-08-01,310.0,
1941-09-01,95.0,
1941-10-01,171.0,
1941-11-01,24.0,
1941-12-01,78.0,
1942-01-01,168.0,
1942-02-01,65.0,
1942-03-01,80.0,
1942-04-01,73.0,
1942-05-01,170.0,
1942-06-01,166.0,
1942-07-01,148.0,
1942-08-01,145.0,
1942-09-01,149.0,
1942-10-01,170.0,
1942-11-01,80.0,
1942-12-01,46.0,
1943-01-01,100.0,
1943-02-01,144.0,
1943-03-01,104.0,
1943-04-01,150.0,
1943-05-01,211.0,
1943-06-01,216.0,
1943-07-01,117.0,
1943-08-01,120.0,
1943-09-01,167.0,
1943-10-01,0.0,
1943-11-01,129.0,
1943-12-01,51.0,
1944-01-01,90.0,
1944-02-01,235.0,
1944-03-01,197.0,
1944-04-01,74.0,
1944-05-01,59.0,
1944-06-01,180.0,
1944-07-01,265.0,
1944-08-01,176.0,
1944-09-01,150.0,
