time,JUN
1945-02-01,-10.4
1945-03-01,-11.6
1945-04-01,-8.9
1945-05-01,-5.3
1945-06-01,-1.8
1945-07-01,0.3
1945-08-01,-2.3
1945-09-01,-2.8
1945-10-01,-5.9
1945-11-01,-11.0
1945-12-01,-14.1
1946-01-01,-14.2
1946-02-01,-14.4
1946-03-01,-10.8
1946-04-01,-7.1
1946-05-01,-5.7
1946-06-01,-3.9
1946-07-01,0.3
1946-08-01,-1.1
1946-09-01,-1.2
1946-10-01,-6.9
1946-11-01,-10.1
1946-12-01,-15.8
1947-01-01,-16.4
1947-02-01,-15.7
1947-03-01,-11.4
1947-04-01,-7.4
1947-05-01,-4.0
1947-06-01,-1.4
1947-07-01,1.0
1947-08-01,0.5
1947-09-01,-1.9
1947-10-01,-4.3
1947-11-01,-10.0
1947-12-01,-15.4
1948-01-01,-13.1
1948-02-01,-15.3
1948-03-01,-7.8
1948-04-01,-9.0
1948-05-01,-5.1
1948-06-01,-4.5
1948-07-01,-3.4
1948-08-01,-1.2
1948-09-01,-1.5
1948-10-01,-4.1
1948-11-01,-6.5
1948-12-01,-10.8
1949-01-01,-12.3
1949-02-01,-11.5
1949-03-01,-15.4
1949-04-01,-7.5
1949-05-01,-6.8
1949-06-01,-3.6
1949-07-01,-0.7
1949-08-01,-0.6
1949-09-01,-0.7
1949-10-01,-3.4
1949-11-01,-12.5
1949-12-01,-11.0
1950-01-01,-13.3
1950-02-01,-12.4
1950-03-01,-10.3
1950-04-01,-12.5
1950-05-01,-4.7
1950-06-01,-0.8
1950-07-01,1.2
1950-08-01,0.1
1950-09-01,-3.7
1950-10-01,-5.4
1950-11-01,-10.9
1950-12-01,-15.6
1951-01-01,-13.6
1951-02-01,-16.0
1951-03-01,-15.1
1951-04-01,-11.1
1951-05-01,-7.3
1951-06-01,-3.5
1951-07-01,-0.3
1951-08-01,-0.7
1951-09-01,-1.3
1951-10-01,-6.2
1951-11-01,-9.9
1951-12-01,-9.9
1952-01-01,-17.0
1952-02-01,-16.1
1952-03-01,-11.8
1952-04-01,-8.0
1952-05-01,-7.0
1952-06-01,-1.9
1952-07-01,1.7
1952-08-01,0.0
1952-09-01,-6.3
1952-10-01,-8.2
1952-11-01,-14.1
1952-12-01,-14.5
1953-01-01,-14.5
1953-02-01,-15.3
1953-03-01,-11.5
1953-04-01,-9.4
1953-05-01,-6.2
1953-06-01,-4.3
1953-07-01,-0.1
1953-08-01,-0.6
1953-09-01,-1.7
1953-10-01,-4.8
1953-11-01,-5.4
1953-12-01,-10.6
1954-01-01,-17.4
1954-02-01,-14.9
1954-03-01,-12.3
1954-04-01,-11.7
1954-05-01,-7.2
1954-06-01,-2.1
1954-07-01,-3.7
1954-08-01,-2.4
1954-09-01,-3.1
1954-10-01,-5.6
1954-11-01,-9.3
1954-12-01,-11.8
1955-01-01,-12.0
1955-02-01,-17.5
1955-03-01,-14.4
1955-04-01,-11.0
1955-05-01,-7.4
1955-06-01,-3.7
1955-07-01,-1.4
1955-08-01,-2.7
1955-09-01,-4.0
1955-10-01,-7.1
1955-11-01,-8.9
1955-12-01,-11.9
1956-01-01,-12.9
1956-02-01,-21.7
1956-03-01,-14.2
1956-04-01,-13.0
1956-05-01,-6.6
1956-06-01,-6.0
1956-07-01,-1.3
1956-08-01,-2.1
1956-09-01,-1.9
1956-10-01,-7.9
1956-11-01,-11.5
1956-12-01,-12.5
1957-01-01,-14.3
1957-02-01,-13.3
1957-03-01,-8.7
1957-04-01,-10.9
1957-05-01,-8.6
1957-06-01,-2.6
1957-07-01,-1.5
1957-08-01,-2.1
1957-09-01,-4.3
1957-10-01,-4.0
1957-11-01,-7.7
1957-12-01,-12.2
1958-01-01,-12.7
1958-02-01,-12.6
1958-03-01,-16.1
1958-04-01,-13.6
1958-05-01,-3.9
1958-06-01,-3.7
1958-07-01,-0.4
1958-08-01,0.3
1958-09-01,-0.8
1958-10-01,-6.7
1958-11-01,-9.3
1958-12-01,-11.9
1959-01-01,-15.1
1959-02-01,-10.7
1959-03-01,-10.7
1959-04-01,-9.3
1959-05-01,-6.6
1959-06-01,-2.8
1959-07-01,0.1
1959-08-01,-1.4
1959-09-01,-1.0
1959-10-01,-5.8
1959-11-01,-10.2
1959-12-01,-12.8
1960-01-01,-15.3
1960-02-01,-13.8
1960-03-01,-12.8
1960-04-01,-11.2
1960-05-01,-5.8
1960-06-01,-2.2
1960-07-01,-2.9
1960-08-01,-2.4
1960-09-01,-4.6
1960-10-01,-8.9
1960-11-01,-10.8
1960-12-01,-13.8
1961-01-01,-14.1
1961-02-01,-11.8
1961-03-01,-10.6
1961-04-01,-8.0
1961-05-01,-8.0
1961-06-01,-1.9
1961-07-01,-2.8
1961-08-01,-0.8
1961-09-01,0.0
1961-10-01,-5.3
1961-11-01,-9.8
1961-12-01,-12.0
1962-01-01,-13.1
