time,JUN
1976-11-01,-11.5
1976-12-01,-14.7
1977-01-01,-15.1
1977-02-01,-13.9
1977-03-01,-10.0
1977-04-01,-11.7
1977-05-01,-7.5
1977-06-01,-4.0
1977-07-01,-1.0
1977-08-01,-2.5
1977-09-01,-4.0
1977-10-01,-3.5
1977-11-01,-12.6
1977-12-01,-10.4
1978-01-01,-14.9
1978-02-01,-15.0
1978-03-01,-12.8
1978-04-01,-12.4
1978-05-01,-7.9
1978-06-01,-4.8
1978-07-01,-2.3
1978-08-01,-2.1
1978-09-01,-3.8
1978-10-01,-4.4
1978-11-01,-8.0
1978-12-01,-11.5
1979-01-01,-16.6
1979-02-01,-13.2
1979-03-01,-13.2
1979-04-01,-13.2
1979-05-01,-7.3
1979-06-01,-2.0
1979-07-01,-2.2
1979-08-01,-2.4
1979-09-01,-1.5
1979-10-01,-4.6
1979-11-01,-9.8
1979-12-01,-12.8
1980-01-01,-16.2
1980-02-01,-12.6
1980-03-01,-13.0
1980-04-01,-14.2
1980-05-01,-8.2
1980-06-01,-5.4
1980-07-01,-3.0
1980-08-01,0.0
1980-09-01,-1.5
1980-10-01,-7.1
1980-11-01,-10.5
1980-12-01,-14.7
1981-01-01,-14.7
1981-02-01,-13.7
1981-03-01,-9.6
1981-04-01,-8.4
1981-05-01,-5.9
1981-06-01,-2.2
1981-07-01,-1.2
1981-08-01,0.5
1981-09-01,-2.0
1981-10-01,-6.6
1981-11-01,-10.3
1981-12-01,-14.8
1982-01-01,-11.9
1982-02-01,-12.2
1982-03-01,-14.7
1982-04-01,-10.8
1982-05-01,-6.1
1982-06-01,-2.4
1982-07-01,0.8
1982-08-01,-0.7
1982-09-01,-0.3
1982-10-01,-6.4
1982-11-01,-8.5
1982-12-01,-12.6
1983-01-01,-10.9
1983-02-01,-16.5
1983-03-01,-11.3
1983-04-01,-10.7
1983-05-01,-8.2
1983-06-01,-2.4
1983-07-01,2.7
1983-08-01,-0.6
1983-09-01,-1.6
1983-10-01,-4.9
1983-11-01,-7.7
1983-12-01,-11.2
1984-01-01,-15.4
1984-02-01,-16.6
1984-03-01,-15.0
1984-04-01,-11.2
1984-05-01,-8.9
1984-06-01,-4.6
1984-07-01,-1.4
1984-08-01,-1.5
1984-09-01,-5.0
1984-10-01,-4.5
1984-11-01,-7.9
1984-12-01,-11.5
1985-01-01,-18.9
1985-02-01,-12.7
1985-03-01,-15.7
1985-04-01,-10.7
1985-05-01,-6.7
1985-06-01,-5.1
1985-07-01,0.6
1985-08-01,-0.5
1985-09-01,-0.2
1985-10-01,-3.3
1985-11-01,-12.8
1985-12-01,-9.4
1986-01-01,-17.0
1986-02-01,-17.6
1986-03-01,-12.9
1986-04-01,-11.6
1986-05-01,-4.3
1986-06-01,-2.7
1986-07-01,-1.0
1986-08-01,-0.7
1986-09-01,-1.2
1986-10-01,-4.0
1986-11-01,-7.7
1986-12-01,-13.3
1987-01-01,-15.1
1987-02-01,-12.8
1987-03-01,-17.1
1987-04-01,-8.7
1987-05-01,-8.8
1987-06-01,-4.3
1987-07-01,-0.1
1987-08-01,-0.6
1987-09-01,-0.4
1987-10-01,-4.4
1987-11-01,-10.2
1987-12-01,-8.9
1988-01-01,-12.8
1988-02-01,-15.2
1988-03-01,-15.9
1988-04-01,-9.4
1988-05-01,-4.6
1988-06-01,-3.8
1988-07-01,0.2
1988-08-01,0.7
1988-09-01,-2.4
1988-10-01,-4.1
1988-11-01,-9.1
1988-12-01,-11.9
1989-01-01,-8.9
1989-02-01,-12.0
1989-03-01,-9.6
1989-04-01,-11.4
1989-05-01,-4.3
1989-06-01,-4.2
1989-07-01,-0.4
1989-08-01,-0.8
1989-09-01,-2.9
1989-10-01,-4.6
1989-11-01,-8.8
1989-12-01,-8.2
1990-01-01,-11.0
1990-02-01,-9.9
1990-03-01,-10.5
1990-04-01,-11.8
1990-05-01,-4.7
