stn,Name,Parameter,Datenquelle,Länge/Breite,Koordinaten [km],Höhe ü. M. [m]
EIG,Eigergletscher,rre150m0,MeteoSchweiz,7°58'/46°35',640950/158350,2320
KSE,Kleine Scheidegg,rre150m0,MeteoSchweiz,7°58'/46°35',639896/159346,2060
