,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,-0.1384229972353662,251.71537849167524,281.0,0.5566399244037257,14
0.2,0.006577608318183673,266.1703384444795,281.0,0.6203292849966053,14
0.30000000000000004,0.13473870260604234,270.9356493477047,489.0,0.6342967721365446,13
0.4,0.14087402769412496,280.4122635826018,593.0,0.6526478428470325,13
0.5,0.20005001472842307,276.7399350908446,593.0,0.6832162280420491,11
0.6,0.24406427350706492,271.3745089392027,593.0,0.71531508327001,11
0.7000000000000001,0.2803579300631776,271.82744740207977,697.0,0.740786790399424,11
0.8,0.3094825687747737,277.3652210842791,801.0,0.7440376271049192,11
0.9,0.3416094099493689,272.4157673712974,905.0,0.7734913121308344,10
1.0,0.40260345403910164,276.53440063400404,905.0,0.7930912676629475,10
2.0,0.564484523058153,261.9306437228691,1425.0,0.8566143615350804,8
3.0,0.6519578668669881,276.6012595912371,1529.0,0.8837734400924592,6
4.0,0.6861430056835028,273.70233949602124,1529.0,0.8926680074291399,6
5.0,0.708071953817051,296.27098915673776,1633.0,0.9026017651288634,6
6.0,0.7376946240974267,300.56371127035555,1633.0,0.9210563738810976,5
7.0,0.7448590614986889,318.9061628080751,1737.0,0.9174289372954181,5
8.0,0.7672295196861901,328.3913872196421,1737.0,0.9153265799425182,5
9.0,0.7935016451496272,331.88194975137554,1841.0,0.9167901898070612,4
10.0,0.78396426155882,340.1600485444876,1945.0,0.9203658367750712,4
11.0,0.807800708951165,342.0588022666248,1945.0,0.9190973720457258,4
12.0,0.8070429579368424,354.3898532598089,2049.0,0.9256784358279863,4
13.0,0.831203793917105,362.7546239836669,2153.0,0.9258928065546544,4
14.0,0.8393151956346092,365.446838524987,2153.0,0.927080284430168,4
15.0,0.8368063122834352,373.57407718262266,2257.0,0.9244431227647804,3
16.0,0.8556632727092431,365.22964060427,2465.0,0.9328000284343096,3
17.0,0.8596371407677534,377.81402398431385,2465.0,0.932681513166073,3
18.0,0.8660919531907895,389.22418470932547,2569.0,0.9295139494704494,3
19.0,0.8717246558369299,395.46121314272955,2569.0,0.9365976564997676,3
20.0,0.8697011437730151,393.0523680904325,2569.0,0.9311488225084942,3
