,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,-0.27483468544139805,251.10684090889637,73.0,0.36372452931849614,14
0.2,-0.2088371492445754,272.61984414724265,177.0,0.5231110397105899,14
0.30000000000000004,-0.16842352886060358,290.755275580564,177.0,0.5934503783365177,14
0.4,-0.07878504610691066,290.8095860659053,281.0,0.6262848121792641,14
0.5,-0.010087421429173099,290.18576491507775,281.0,0.6778880413975782,14
0.6,0.005477180311793449,300.1863695175356,281.0,0.7043180542136741,14
0.7000000000000001,0.05207816395172798,303.8698736125114,281.0,0.738087799434469,14
0.8,0.08366758094772944,308.09387182814174,281.0,0.7649424232240789,14
0.9,0.0964662757129704,310.087554530652,281.0,0.7670369200227822,14
1.0,0.11240745929757366,310.2837842734578,281.0,0.7796244327139491,13
2.0,0.2552819143173875,344.2224593431854,801.0,0.8427722184675904,12
3.0,0.34211341130423417,346.7918227110946,801.0,0.8536110183107166,11
4.0,0.39895682493702217,362.9509685792978,801.0,0.8705421261960994,10
5.0,0.41230491663549557,426.29703903205836,801.0,0.8925586645776947,10
6.0,0.445421915518333,434.72477057598087,801.0,0.8957916785312412,9
7.0,0.4860473591354044,433.6734464723733,801.0,0.8998039865859981,9
8.0,0.5219943704194975,426.8960851924968,905.0,0.9031712930613174,8
9.0,0.5621933817766592,423.74777746617485,905.0,0.9152785984410561,8
10.0,0.5700717770708912,436.1789584849452,1009.0,0.919133710144182,8
11.0,0.5779590233048705,438.05585680600404,1009.0,0.9192908879491458,7
12.0,0.6092265019735906,436.63374427352664,1113.0,0.9182307010588394,7
13.0,0.6082146726205396,441.3393608651004,1113.0,0.9164550100079588,7
14.0,0.619898542052723,437.8255047060277,1113.0,0.9168154492734696,8
15.0,0.6336376244295641,441.4758798522145,1321.0,0.913899295125198,7
16.0,0.6560593685667213,434.4615483223653,1425.0,0.9199992926154075,7
17.0,0.6498138290946104,438.33748482791384,1425.0,0.9296598505201176,7
18.0,0.667898094014811,439.3812635369899,1529.0,0.9280954125510456,6
19.0,0.6724501900963982,442.63161890093954,1529.0,0.9227823929580413,6
20.0,0.6851419953684311,443.0527009267019,1529.0,0.9314247406260949,6
