Factor;Correlation;RMSD
0.1;0.05044033999894736;280.2520713644475
0.2;0.17256316167770483;286.43354518506555
0.3;0.32396142472176664;291.23014607810626
0.4;0.3876740189744485;290.15393856822595
0.5;0.44904035565787687;295.59532996304694
0.6;0.46536395891357774;294.6675087301379
0.7;0.5108872482185958;291.34706080099795
0.8;0.5519987341077334;303.76625820838694
0.9;0.5741000789560315;307.0920627115734
1.0;0.6257633906789395;303.6703156094576
2.6;0.7382609971803933;349.1995854259542
4.1;0.7949998766100419;378.24850818587737
5.7;0.8284056654660572;397.78055009860566
7.2;0.8573240297784505;418.5966021327433
8.8;0.8648355468068022;449.24677371427924
10.3;0.8754725597887638;461.71668921662905
11.9;0.884668611585304;488.2810756737226
13.4;0.8875584515336727;501.73957219904236
15.0;0.898694501168518;506.81942459692937
