 

stn;time;rka150d0
BEKSE;20090416;8.4
BEKSE;20090417;0.0
BEKSE;20090418;0.1
BEKSE;20090419;5.3
BEKSE;20090420;0.0
BEKSE;20090421;0.3
BEKSE;20090422;0.0
BEKSE;20090423;0.0
BEKSE;20090424;0.0
BEKSE;20090425;0.0
BEKSE;20090426;0.0
BEKSE;20090427;52.1
BEKSE;20090428;31.5
BEKSE;20090429;4.9
BEKSE;20090430;0.0
BEKSE;20090501;0.0
BEKSE;20090502;0.6
BEKSE;20090503;3.0
BEKSE;20090504;9.5
BEKSE;20090505;0.0
BEKSE;20090506;0.0
BEKSE;20090507;0.0
BEKSE;20090508;0.2
BEKSE;20090509;0.0
BEKSE;20090510;0.0
BEKSE;20090511;0.0
BEKSE;20090512;1.2
BEKSE;20090513;0.1
BEKSE;20090514;0.0
BEKSE;20090515;6.9
BEKSE;20090516;0.0
BEKSE;20090517;0.0
BEKSE;20090518;3.3
BEKSE;20090519;0.0
BEKSE;20090520;0.0
BEKSE;20090521;0.5
BEKSE;20090522;1.3
BEKSE;20090523;0.3
BEKSE;20090524;0.3
BEKSE;20090525;0.0
BEKSE;20090526;32.5
BEKSE;20090527;5.9
BEKSE;20090528;0.0
BEKSE;20090529;0.0
BEKSE;20090530;0.2
BEKSE;20090531;4.0
BEKSE;20090601;0.0
BEKSE;20090602;0.1
BEKSE;20090603;0.0
BEKSE;20090604;0.0
BEKSE;20090605;0.2
BEKSE;20090606;3.8
BEKSE;20090607;0.4
BEKSE;20090608;0.2
BEKSE;20090609;16.6
BEKSE;20090610;0.0
BEKSE;20090611;3.7
BEKSE;20090612;0.0
BEKSE;20090613;0.0
BEKSE;20090614;14.0
BEKSE;20090615;13.8
BEKSE;20090616;0.7
BEKSE;20090617;0.0
BEKSE;20090618;2.5
BEKSE;20090619;37.3
BEKSE;20090620;15.6
BEKSE;20090621;3.1
BEKSE;20090622;13.7
BEKSE;20090623;0.0
BEKSE;20090624;0.0
BEKSE;20090625;7.6
BEKSE;20090626;12.2
BEKSE;20090627;4.8
BEKSE;20090628;0.0
BEKSE;20090629;0.1
BEKSE;20090630;0.0
BEKSE;20090701;2.7
BEKSE;20090702;2.6
BEKSE;20090703;1.3
BEKSE;20090704;7.3
BEKSE;20090705;12.1
BEKSE;20090706;15.1
BEKSE;20090707;17.4
BEKSE;20090708;1.0
BEKSE;20090709;2.0
BEKSE;20090710;1.6
BEKSE;20090711;0.0
BEKSE;20090712;0.0
BEKSE;20090713;0.0
BEKSE;20090714;0.0
BEKSE;20090715;4.4
BEKSE;20090716;0.0
BEKSE;20090717;57.6
BEKSE;20090718;10.5
BEKSE;20090719;0.3
BEKSE;20090720;0.0
BEKSE;20090721;0.0
BEKSE;20090722;0.7
BEKSE;20090723;15.3
BEKSE;20090724;20.1
BEKSE;20090725;0.0
BEKSE;20090726;0.0
BEKSE;20090727;16.9
BEKSE;20090728;5.3
BEKSE;20090729;0.0
BEKSE;20090730;0.0
BEKSE;20090731;0.0
BEKSE;20090801;0.0
BEKSE;20090802;20.5
BEKSE;20090803;22.7
BEKSE;20090804;0.8
BEKSE;20090805;0.0
BEKSE;20090806;0.0
BEKSE;20090807;0.0
BEKSE;20090808;2.2
BEKSE;20090809;43.9
BEKSE;20090810;11.2
BEKSE;20090811;0.0
BEKSE;20090812;0.0
BEKSE;20090813;0.0
BEKSE;20090814;0.0
BEKSE;20090815;0.0
BEKSE;20090816;0.0
BEKSE;20090817;0.0
BEKSE;20090818;0.0
BEKSE;20090819;0.0
BEKSE;20090820;4.2
BEKSE;20090821;4.8
BEKSE;20090822;0.3
BEKSE;20090823;0.0
BEKSE;20090824;7.8
BEKSE;20090825;16.9
BEKSE;20090826;3.2
BEKSE;20090827;0.0
BEKSE;20090828;0.6
BEKSE;20090829;3.1
BEKSE;20090830;0.0
BEKSE;20090831;0.0
BEKSE;20090901;17.6
BEKSE;20090902;8.9
BEKSE;20090903;3.2
BEKSE;20090904;10.1
BEKSE;20090905;0.1
BEKSE;20090906;0.0
BEKSE;20090907;0.0
BEKSE;20090908;0.0
BEKSE;20090909;0.0
BEKSE;20090910;0.0
BEKSE;20090911;0.1
BEKSE;20090912;0.0
BEKSE;20090913;0.0
BEKSE;20090914;3.8
BEKSE;20090915;1.6
BEKSE;20090916;5.5
BEKSE;20090917;0.6
BEKSE;20090918;0.0
BEKSE;20090919;0.0
BEKSE;20090920;0.0
BEKSE;20090921;0.0
BEKSE;20090922;0.0
BEKSE;20090923;0.0
BEKSE;20090924;0.0
BEKSE;20090925;0.0
BEKSE;20090926;0.1
BEKSE;20090927;4.0
BEKSE;20090928;0.0
BEKSE;20090929;0.0
BEKSE;20090930;0.0
BEKSE;20091001;0.1
BEKSE;20091002;0.0
BEKSE;20091003;0.0
BEKSE;20091004;0.0
BEKSE;20091005;1.2
BEKSE;20091006;0.0
BEKSE;20091007;0.0
BEKSE;20091008;3.3
BEKSE;20091009;2.8
BEKSE;20091010;13.7
BEKSE;20091011;0.6
BEKSE;20091012;25.2
BEKSE;20091013;0.0
BEKSE;20091014;0.0
BEKSE;20091015;0.0
BEKSE;20091016;3.4
BEKSE;20091017;6.9
BEKSE;20091018;0.0
BEKSE;20091019;0.0
BEKSE;20091020;0.0
BEKSE;20091021;1.4
BEKSE;20091022;0.0
BEKSE;20091023;7.1
BEKSE;20091024;0.0
BEKSE;20091025;0.0
BEKSE;20091026;0.0
BEKSE;20091027;0.0
BEKSE;20091028;0.0
BEKSE;20091029;0.0
BEKSE;20091030;0.0
BEKSE;20091031;0.0
BEKSE;20091101;0.0
BEKSE;20091102;22.6
BEKSE;20091103;1.5
BEKSE;20091104;4.5
BEKSE;20091105;0.3
BEKSE;20091106;1.0
BEKSE;20091107;2.2
BEKSE;20091108;5.3
BEKSE;20091109;4.1
BEKSE;20091110;2.3
BEKSE;20091111;0.0
BEKSE;20091112;3.3
BEKSE;20091113;0.3
BEKSE;20091114;3.4
BEKSE;20091115;0.8
BEKSE;20091116;3.1
BEKSE;20091117;0.3
BEKSE;20091118;6.8
BEKSE;20091119;0.0
BEKSE;20091120;0.0
BEKSE;20091121;0.0
BEKSE;20091122;1.9
BEKSE;20091123;0.0
BEKSE;20091124;5.8
BEKSE;20091125;0.0
BEKSE;20091126;0.0
BEKSE;20091127;0.0
BEKSE;20091128;0.0
BEKSE;20091129;0.0
BEKSE;20091130;59.7
BEKSE;20091201;15.1
BEKSE;20091202;0.0
BEKSE;20091203;2.3
BEKSE;20091204;3.2
BEKSE;20091205;0.0
BEKSE;20091206;1.3
BEKSE;20091207;7.3
BEKSE;20091208;10.9
BEKSE;20091209;0.0
BEKSE;20091210;0.6
BEKSE;20091211;5.4
BEKSE;20091212;2.7
BEKSE;20091213;0.2
BEKSE;20091214;0.0
BEKSE;20091215;0.0
BEKSE;20091216;0.0
BEKSE;20091217;0.0
