 

stn;time;rka150d0
TIT;20160413;14.0
TIT;20160414;15.3
TIT;20160415;1.8
TIT;20160416;1.3
TIT;20160417;18.7
TIT;20160418;14.4
TIT;20160419;0.9
TIT;20160420;0.4
TIT;20160421;0.0
TIT;20160422;3.6
TIT;20160423;20.5
TIT;20160424;17.9
TIT;20160425;14.0
TIT;20160426;10.3
TIT;20160427;8.2
TIT;20160428;0.5
TIT;20160429;0.1
TIT;20160430;6.7
TIT;20160501;15.5
TIT;20160502;10.3
TIT;20160503;55.6
TIT;20160504;3.2
TIT;20160505;0.0
TIT;20160506;0.7
TIT;20160507;0.0
TIT;20160508;0.0
TIT;20160509;0.4
TIT;20160510;0.0
TIT;20160511;0.7
TIT;20160512;31.7
TIT;20160513;42.1
TIT;20160514;50.1
TIT;20160515;3.4
TIT;20160516;3.6
TIT;20160517;0.5
TIT;20160518;0.6
TIT;20160519;22.2
TIT;20160520;0.6
TIT;20160521;0.0
TIT;20160522;2.1
TIT;20160523;39.6
TIT;20160524;8.2
TIT;20160525;0.4
TIT;20160526;0.3
TIT;20160527;36.0
TIT;20160528;7.0
TIT;20160529;11.1
TIT;20160530;3.4
TIT;20160531;6.5
TIT;20160601;2.0
TIT;20160602;2.6
TIT;20160603;13.1
TIT;20160604;2.7
TIT;20160605;3.7
TIT;20160606;1.0
TIT;20160607;11.2
TIT;20160608;19.6
TIT;20160609;27.3
TIT;20160610;0.4
TIT;20160611;12.3
TIT;20160612;9.5
TIT;20160613;11.6
TIT;20160614;14.8
TIT;20160615;0.4
TIT;20160616;32.7
TIT;20160617;10.3
TIT;20160618;11.6
TIT;20160619;12.3
TIT;20160620;1.4
TIT;20160621;6.3
TIT;20160622;0.0
TIT;20160623;0.0
TIT;20160624;0.0
TIT;20160625;12.4
TIT;20160626;7.8
TIT;20160627;0.3
TIT;20160628;0.4
TIT;20160629;1.2
TIT;20160630;22.6
TIT;20160701;3.6
TIT;20160702;17.2
TIT;20160703;3.4
TIT;20160704;0.0
TIT;20160705;9.1
TIT;20160706;0.0
TIT;20160707;0.0
TIT;20160708;0.4
