Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Bestellnummer 61371

Dateiname                               Dateityp  Station                              Parameter                                                   Zeitinterval
order_61371_TIT_rre150d0_1_legend.txt   Legende   Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20131014-20131220
order_61371_TIT_rre150d0_2_data.txt     Daten     Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20140225-20160106
order_61371_TIT_rre150d0_2_legend.txt   Legende   Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20140225-20160106
order_61371_TIT_rre150d0_3_data.txt     Daten     Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20160412-20160708
order_61371_TIT_rre150d0_3_legend.txt   Legende   Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20160412-20160708
order_61371_SLFTIT_rre150d0_1_data.txt  Daten     Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20110915-20161106
order_61371_SLFTIT_rre150d0_1_legend.txt Legende   Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20110915-20161106
order_61371_SLFTIT_rre150d0_2_data.txt  Daten     Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170207-20180818
order_61371_SLFTIT_rre150d0_2_legend.txt Legende   Titlis                               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170207-20180818
order_61371_SLFUR2_rre150d0_1_data.txt  Daten     Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             19980930-20161112
order_61371_SLFUR2_rre150d0_1_legend.txt Legende   Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             19980930-20161112
order_61371_SLFUR2_rre150d0_2_data.txt  Daten     Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170206-20170409
order_61371_SLFUR2_rre150d0_2_legend.txt Legende   Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170206-20170409
order_61371_SLFUR2_rre150d0_3_data.txt  Daten     Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170808-20180818
order_61371_SLFUR2_rre150d0_3_legend.txt Legende   Urseren / Giltnasen                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170808-20180818
