 																							
Activity	
StartTime [ISO8601]
Duration [s]
Calories	
Distance [m]
Feeling	HrAvg	
SpeedAvg [km/h]
TE	
AscentAltitude
AscentTime	
DescentAltitude
DescentTime
CadenceAvg	CadenceMax	FlatTime	
HighAltitude
LowAltitude
HrMin	HrPeak	SpeedMax	
TemperatureMax
TemperatureMin
Device
Trail running
2018-07-22T03:27:11	11358.8	1760	15255	4	144	4.83998394	3.4000001	1720	7034	1711	4107	50	142	217.8	2452	875	90	168	3.63056	28.9	15.7	Suunto Ambit3 Peak
