,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,0.025970489055798372,259.06174346324144,281.0,0.6045074776742905,13
0.2,0.17489024929711128,272.41613649994895,593.0,0.6537693451263482,12
0.30000000000000004,0.26362183163686154,265.7256044942798,593.0,0.6748254539598932,10
0.4,0.29442838547606215,272.9594265423048,905.0,0.6822099124253455,12
0.5,0.38709123005017565,271.34175471920736,801.0,0.7411221380336498,8
0.6,0.43590041687867864,266.75061800182755,905.0,0.7973635968357233,9
0.7000000000000001,0.47332999665726655,280.06608491386834,1113.0,0.8259236075320053,8
0.8,0.5094027193902496,275.9855310365097,1113.0,0.8179975147153999,9
0.9,0.5457230593637715,271.73649426712063,1113.0,0.8324640852285417,8
1.0,0.5476437090773418,270.23340221186737,1113.0,0.8456684338799909,7
2.0,0.6828398444428547,284.7702744853532,1633.0,0.8911884076363333,6
3.0,0.7310787693837879,308.05380331001834,1633.0,0.9000055070733003,5
4.0,0.7730256981787759,317.96404275491136,1737.0,0.9118905784319756,4
5.0,0.7993036322346135,336.92436408421565,1945.0,0.920829855000811,4
6.0,0.8260046253777041,349.31300503663704,2049.0,0.9238633326049814,4
7.0,0.8345891625565018,366.90129171575046,2153.0,0.9231338065816149,3
8.0,0.839749706882008,372.9773823124257,2257.0,0.9255381676919054,3
9.0,0.8541977745065887,390.0307165825017,2569.0,0.9284072838821367,3
10.0,0.8752362033658956,396.2567821756106,2569.0,0.9336190860142167,3
11.0,0.8894176473856567,401.29522817704714,2569.0,0.9333401310737632,2
12.0,0.8882649088890924,409.1025481160831,2673.0,0.9279748616278516,2
13.0,0.8873427238010425,415.1301297930656,2673.0,0.9315964709276481,2
14.0,0.8954544353622996,422.0303292671713,2777.0,0.930895513026174,2
15.0,0.9066670950092466,429.4008892433622,2777.0,0.9350742256210127,2
16.0,0.9029002188837427,438.4608222311851,2777.0,0.9353984931543744,2
17.0,0.9048581977149834,442.3038218466699,2777.0,0.9316831067676009,2
18.0,0.908774295420305,449.31066812490354,2777.0,0.9331327739625861,1
19.0,0.9132451833224914,460.2472243489212,2881.0,0.9348895961985085,1
20.0,0.9174025998083059,459.1934373336157,2881.0,0.9329658330149633,1
