,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,-0.010285161739242845,261.62795007726015,385.0,0.639586093450791,14
0.2,0.18185607089488823,266.32466820448957,593.0,0.6371238195074982,12
0.30000000000000004,0.2477645254187721,265.7098595836764,697.0,0.6672580140967703,12
0.4,0.3043798994029132,260.8916158460192,697.0,0.6747691178472206,10
0.5,0.3887495232343052,260.10698663972795,801.0,0.7625081234585172,9
0.6,0.39865585557730787,276.2873215185295,905.0,0.7844535027900469,9
0.7000000000000001,0.45348095678752276,268.6050392285613,905.0,0.7976532386243711,8
0.8,0.4682782146865579,271.7845605078562,1009.0,0.8238650780577698,9
0.9,0.5088339454295299,266.2443466676919,1009.0,0.8249585540263261,8
1.0,0.5193039320096301,270.23590454928643,1113.0,0.8395110164298775,8
2.0,0.676791674185855,269.94415252095723,1529.0,0.8952676670607257,6
3.0,0.6994210870419566,291.0335145167488,1529.0,0.898666039808732,6
4.0,0.7376657339332621,309.2196592844172,1633.0,0.9062614435285264,5
5.0,0.7801618240657321,324.0989061523366,1737.0,0.9189781013614929,5
6.0,0.8038863634885144,328.27127611171716,1841.0,0.9165684181513821,4
7.0,0.81407877998824,343.27338949149765,1945.0,0.9219007888037243,4
8.0,0.8341171398334675,357.1779881732035,2049.0,0.9288434438686006,4
9.0,0.8479888388552469,365.35605067839384,2257.0,0.9289292878027435,3
10.0,0.845209037339571,371.40182103740375,2465.0,0.9274046054798946,3
11.0,0.8735831074723669,381.5442640844954,2465.0,0.9324623091788438,3
12.0,0.8819187734343473,389.88691462017175,2569.0,0.9321431193384334,3
13.0,0.8821906788237621,394.5522453780555,2569.0,0.9334120728669038,2
14.0,0.8966764830010868,397.5336045706076,2673.0,0.9367362183345207,2
15.0,0.895034476639304,411.357534933583,2673.0,0.936336954828226,3
16.0,0.9013340090437892,423.0606640509436,2673.0,0.9386218091811399,2
17.0,0.9072848275339307,419.99261365978606,2777.0,0.9360522211016268,2
18.0,0.9066353342985903,429.0660691959378,2777.0,0.9330259659536622,2
19.0,0.9111094807263697,425.95396065416423,2777.0,0.9363034874799062,2
20.0,0.9177885265796243,432.42500056259047,2777.0,0.9409703076885838,2
