,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1900,-3.3167964290489635
RGI60-11.00012,13.0581,47.4242,10,1950,-1.440802004998659
RGI60-11.00073,12.5956,47.1403,17,1979,0.9542233268853124
RGI60-11.00080,12.5964,47.1316,63,1882,0.24491993385697697
RGI60-11.00106,12.6967,47.0991,28,1875,7.379502495259771
RGI60-11.00190,12.3784,47.0851,8,1984,34.57156380829019
RGI60-11.00251,12.9472,47.053,16,1983,16.026520700881974
RGI60-11.00289,12.9702,47.0421,26,1954,4.177448824233238
RGI60-11.00300,13.0049,47.0385,32,1900,-10.011798272975739
RGI60-11.00603,11.2247,46.9656,19,1911,234.88685360557952
RGI60-11.00619,11.1528,46.9566,13,1930,-2.9304102129428884
RGI60-11.00638,9.38896,46.9603,8,1911,170.0983560050438
RGI60-11.00647,12.0965,46.9069,6,1978,5.691909662948319
RGI60-11.00719,10.818,46.8762,50,1974,0.19432587192244455
RGI60-11.00781,10.1603,46.8577,26,1905,31.84688704624739
RGI60-11.00787,10.7907,46.8424,62,1981,-2.7153171033728256
RGI60-11.00797,10.1054,46.8515,9,1931,3.60026020166697
RGI60-11.00804,10.0766,46.8524,96,1885,3.8110902434223703
RGI60-11.00807,10.1309,46.8529,9,1905,274.8344969097235
RGI60-11.00843,8.89117,46.8442,100,1975,-0.34232540215313634
RGI60-11.00892,8.98871,46.833,42,1916,-2.1107880575302147
RGI60-11.00897,10.7584,46.8003,62,1889,-3.1311160573891357
RGI60-11.00918,8.97739,46.8133,38,1925,19.947799615977686
RGI60-11.00929,11.0191,46.7817,8,1885,7.429263246582423
RGI60-11.01238,8.3965,46.6236,33,1901,47.506395572299425
RGI60-11.01450,8.01919,46.5028,60,1903,69.26292498735046
RGI60-11.01662,9.36354,46.5056,5,1920,-0.579378729751511
RGI60-11.01704,10.771,46.4838,28,1883,-1.788178249366183
RGI60-11.01776,10.6115,46.4674,11,1919,-0.9073489591123689
RGI60-11.01834,10.7085,46.4512,48,1903,219.5786871200171
RGI60-11.01876,8.33019,46.4383,53,1902,-1.507170797543722
RGI60-11.01930,10.1119,46.4296,5,1880,-0.42310191343244696
RGI60-11.01987,8.4812,46.416,23,1933,0.3296236529962471
RGI60-11.02072,7.51198,46.3839,5,1911,759.6587789119362
RGI60-11.02214,10.5127,46.348,14,1903,177.51877503497724
RGI60-11.02245,9.70108,46.3085,6,1903,299.41445328072507
RGI60-11.02249,7.22536,46.3202,5,1970,732.8589719047079
RGI60-11.02285,9.64185,46.2987,6,1905,238.94540771455183
RGI60-11.02648,9.98941,46.0754,5,1999,-3.62158897253412
RGI60-11.02671,7.9245,46.0649,40,1901,1.1134417776802366
RGI60-11.02679,7.9131,46.055,59,1932,0.27900147936182407
RGI60-11.02704,7.90949,46.0336,59,1868,1.1322447277222238
RGI60-11.02746,7.92806,46.0081,59,1979,1.9764280684053972
RGI60-11.02764,7.87661,46.0124,9,1983,-6.666086856065704
RGI60-11.02766,7.29108,45.9647,18,1889,2.8162603047247785
RGI60-11.02773,7.87051,45.9936,10,1953,2.0912793133397827
RGI60-11.02774,7.38888,45.9921,48,1890,-0.04266888064063323
RGI60-11.03084,7.27894,45.5592,14,1970,-3.647443490381306
RGI60-11.03135,7.38984,45.5181,23,1903,441.60126871029
RGI60-11.03166,7.2204,45.4757,12,1876,-8.407778050926765
RGI60-11.03246,10.982920789,47.415938932,6,1868,-6.0340629314606815
RGI60-11.03638,6.985,45.951,39,1966,167.41177568788328
RGI60-11.03643,6.934,45.883,8,1978,4.3339887464908315
RGI60-11.03671,6.629,45.295,20,1903,147.23924463091475
RGI60-11.03674,6.159,45.16,58,1925,312.3295657438788
RGI60-11.03756,6.130521774,45.116443634,66,1925,677.617368834537
