,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,103.8460787954923
RGI60-11.00012,13.0581,47.4242,10,1889,0.6071789435945902
RGI60-11.00073,12.5956,47.1403,17,1983,-9.226756573636749
RGI60-11.00080,12.5964,47.1316,63,1887,-0.6848352351759104
RGI60-11.00106,12.6967,47.0991,28,1885,8.603902894851785
RGI60-11.00190,12.3784,47.0851,8,1980,2.894760106649528
RGI60-11.00251,12.9472,47.053,16,1976,4.351669284010086
RGI60-11.00289,12.9702,47.0421,26,1886,3.1714530928655904
RGI60-11.00300,13.0049,47.0385,32,1911,81.62910257772398
RGI60-11.00603,11.2247,46.9656,19,1911,441.9446939683984
RGI60-11.00619,11.1528,46.9566,13,1917,-0.7979600690159714
RGI60-11.00638,9.38896,46.9603,8,1911,448.1458600033375
RGI60-11.00647,12.0965,46.9069,6,1870,-0.12117466295910617
RGI60-11.00719,10.818,46.8762,50,1969,-1.4977728119147855
RGI60-11.00781,10.1603,46.8577,26,1905,235.5684240456958
RGI60-11.00787,10.7907,46.8424,62,1942,-7.910536307950423
RGI60-11.00797,10.1054,46.8515,9,1885,-0.37378846706837976
RGI60-11.00804,10.0766,46.8524,96,1910,-0.049664781629132904
RGI60-11.00807,10.1309,46.8529,9,1905,448.9077317789054
RGI60-11.00843,8.89117,46.8442,100,1968,2.1257128152256257
RGI60-11.00892,8.98871,46.833,42,1925,-2.478957103186019
RGI60-11.00897,10.7584,46.8003,62,1904,-3.104625065396476
RGI60-11.00918,8.97739,46.8133,38,1925,64.84319962979961
RGI60-11.00929,11.0191,46.7817,8,1899,-0.20250315203691116
RGI60-11.01238,8.3965,46.6236,33,1901,140.8055167118721
RGI60-11.01450,8.01919,46.5028,60,1903,173.27566611560786
RGI60-11.01662,9.36354,46.5056,5,1901,12.364186666668843
RGI60-11.01704,10.771,46.4838,28,1913,1.7363259558594564
RGI60-11.01776,10.6115,46.4674,11,1903,67.01277804462927
RGI60-11.01834,10.7085,46.4512,48,1903,433.50639184372744
RGI60-11.01876,8.33019,46.4383,53,1901,169.2545000154796
RGI60-11.01930,10.1119,46.4296,5,1911,2.8465476122619293
RGI60-11.01987,8.4812,46.416,23,1968,0.5846329918414312
RGI60-11.02072,7.51198,46.3839,5,1911,889.3491341624433
RGI60-11.02214,10.5127,46.348,14,1903,381.75331156362256
RGI60-11.02245,9.70108,46.3085,6,1903,389.0841867721093
RGI60-11.02249,7.22536,46.3202,5,1970,856.6198594962498
RGI60-11.02285,9.64185,46.2987,6,1905,313.8275261583002
RGI60-11.02648,9.98941,46.0754,5,1999,-17.645285226620082
RGI60-11.02671,7.9245,46.0649,40,1911,23.801572239988445
RGI60-11.02679,7.9131,46.055,59,1978,-3.7016628581281736
RGI60-11.02704,7.90949,46.0336,59,1961,0.4628709021907582
RGI60-11.02746,7.92806,46.0081,59,1892,-4.364192523786784
RGI60-11.02764,7.87661,46.0124,9,1934,4.408311000001049
RGI60-11.02766,7.29108,45.9647,18,1911,41.57277257366752
RGI60-11.02773,7.87051,45.9936,10,1930,0.6617487400399114
RGI60-11.02774,7.38888,45.9921,48,1927,-1.3713111122818304
RGI60-11.03084,7.27894,45.5592,14,1889,-5.220882426430649
RGI60-11.03135,7.38984,45.5181,23,1903,660.2963363255756
RGI60-11.03166,7.2204,45.4757,12,1885,4.779957791091817
RGI60-11.03246,10.982920789,47.415938932,6,1997,-2.485028735344173
RGI60-11.03638,6.985,45.951,39,1966,301.94984265650726
RGI60-11.03643,6.934,45.883,8,1900,0.08468802634979511
RGI60-11.03671,6.629,45.295,20,1903,305.33768438655534
RGI60-11.03674,6.159,45.16,58,1925,426.52225370337794
RGI60-11.03756,6.130521774,45.116443634,66,1925,777.0996813383888
