,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,188.53953109230156
RGI60-11.00012,13.0581,47.4242,10,1890,-0.762178734302779
RGI60-11.00073,12.5956,47.1403,17,1987,3.749236508176409
RGI60-11.00080,12.5964,47.1316,63,1890,3.6447172587699015
RGI60-11.00106,12.6967,47.0991,28,1890,5.979385601456329
RGI60-11.00190,12.3784,47.0851,8,1868,2.2945084422133277
RGI60-11.00251,12.9472,47.053,16,1961,1.7106607529744906
RGI60-11.00289,12.9702,47.0421,26,1891,0.6279703372821359
RGI60-11.00300,13.0049,47.0385,32,1911,176.08735429250498
RGI60-11.00603,11.2247,46.9656,19,1911,510.96394218110345
RGI60-11.00619,11.1528,46.9566,13,1904,2.911803420834076
RGI60-11.00638,9.38896,46.9603,8,1911,540.8283514509051
RGI60-11.00647,12.0965,46.9069,6,1932,5.634849405695036
RGI60-11.00719,10.818,46.8762,50,1878,7.643625270487917
RGI60-11.00781,10.1603,46.8577,26,1905,303.47559605318406
RGI60-11.00787,10.7907,46.8424,62,1979,0.7905231721837538
RGI60-11.00797,10.1054,46.8515,9,1891,0.025396904816375354
RGI60-11.00804,10.0766,46.8524,96,1905,7.16888232755872
RGI60-11.00807,10.1309,46.8529,9,1905,506.93214159321474
RGI60-11.00843,8.89117,46.8442,100,1886,-0.6135104567972292
RGI60-11.00892,8.98871,46.833,42,1925,14.65281547908404
RGI60-11.00897,10.7584,46.8003,62,1903,47.832117455984985
RGI60-11.00918,8.97739,46.8133,38,1925,79.80833907019641
RGI60-11.00929,11.0191,46.7817,8,1912,-1.3303079886875366
RGI60-11.01238,8.3965,46.6236,33,1901,171.90521550301764
RGI60-11.01450,8.01919,46.5028,60,1903,207.9465805501058
RGI60-11.01662,9.36354,46.5056,5,1901,80.88846886768374
RGI60-11.01704,10.771,46.4838,28,1903,2.2607116160235137
RGI60-11.01776,10.6115,46.4674,11,1903,178.18579972889165
RGI60-11.01834,10.7085,46.4512,48,1903,504.81560450771485
RGI60-11.01876,8.33019,46.4383,53,1901,235.30999481367735
RGI60-11.01930,10.1119,46.4296,5,1903,63.865818048073265
RGI60-11.01987,8.4812,46.416,23,1966,-4.73494544523362
RGI60-11.02072,7.51198,46.3839,5,1911,932.5792122003827
RGI60-11.02214,10.5127,46.348,14,1903,449.83148121829936
RGI60-11.02245,9.70108,46.3085,6,1903,418.97407084413715
RGI60-11.02249,7.22536,46.3202,5,1970,897.8734728540605
RGI60-11.02285,9.64185,46.2987,6,1905,338.7882133419521
RGI60-11.02648,9.98941,46.0754,5,1999,-22.319850451996423
RGI60-11.02671,7.9245,46.0649,40,1911,49.19036828023059
RGI60-11.02679,7.9131,46.055,59,1930,-2.6981799158258752
RGI60-11.02704,7.90949,46.0336,59,1950,2.1635467137633952
RGI60-11.02746,7.92806,46.0081,59,1891,-0.7257734141866479
RGI60-11.02764,7.87661,46.0124,9,1979,-1.126343698898836
RGI60-11.02766,7.29108,45.9647,18,1911,128.0040390436053
RGI60-11.02773,7.87051,45.9936,10,1892,-0.4949195663102728
RGI60-11.02774,7.38888,45.9921,48,1903,15.183895263689749
RGI60-11.03084,7.27894,45.5592,14,1899,4.365452453938929
RGI60-11.03135,7.38984,45.5181,23,1903,733.1946769170461
RGI60-11.03166,7.2204,45.4757,12,1899,1.6377639827662165
RGI60-11.03246,10.982920789,47.415938932,6,1999,-17.947508217390492
RGI60-11.03638,6.985,45.951,39,1966,346.79584519036405
RGI60-11.03643,6.934,45.883,8,1906,-0.6198257595167433
RGI60-11.03671,6.629,45.295,20,1903,358.0371696013949
RGI60-11.03674,6.159,45.16,58,1925,464.5864802260834
RGI60-11.03756,6.130521774,45.116443634,66,1925,810.260438546156
