,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1926,-1.9548096351718414
RGI60-11.00012,13.0581,47.4242,10,1950,3.748620231325731
RGI60-11.00073,12.5956,47.1403,17,1979,-6.478701547860055
RGI60-11.00080,12.5964,47.1316,63,1883,-4.619782833899421
RGI60-11.00106,12.6967,47.0991,28,1878,1.1963225949563139
RGI60-11.00190,12.3784,47.0851,8,1983,-19.906437739880403
RGI60-11.00251,12.9472,47.053,16,1981,0.39249590074041407
RGI60-11.00289,12.9702,47.0421,26,1968,-1.1435316826920143
RGI60-11.00300,13.0049,47.0385,32,1927,-12.56615546485773
RGI60-11.00603,11.2247,46.9656,19,1911,257.8933481363233
RGI60-11.00619,11.1528,46.9566,13,1882,-17.334734517360857
RGI60-11.00638,9.38896,46.9603,8,1911,200.9925686355832
RGI60-11.00647,12.0965,46.9069,6,1943,0.9109492104998935
RGI60-11.00719,10.818,46.8762,50,1934,-4.02141194748134
RGI60-11.00781,10.1603,46.8577,26,1905,54.482645623632266
RGI60-11.00787,10.7907,46.8424,62,1981,0.48314133976171547
RGI60-11.00797,10.1054,46.8515,9,1876,-0.08957997576885646
RGI60-11.00804,10.0766,46.8524,96,1887,1.1152567070287773
RGI60-11.00807,10.1309,46.8529,9,1905,294.175994272959
RGI60-11.00843,8.89117,46.8442,100,1972,-2.090643772191214
RGI60-11.00892,8.98871,46.833,42,1918,0.5760872085803044
RGI60-11.00897,10.7584,46.8003,62,1918,-1.1905474158847937
RGI60-11.00918,8.97739,46.8133,38,1925,24.936177033376538
RGI60-11.00929,11.0191,46.7817,8,1886,-4.967744088484324
RGI60-11.01238,8.3965,46.6236,33,1901,57.872975575665805
RGI60-11.01450,8.01919,46.5028,60,1903,80.81990044898674
RGI60-11.01662,9.36354,46.5056,5,1919,6.625248333172408
RGI60-11.01704,10.771,46.4838,28,1881,21.02660753368332
RGI60-11.01776,10.6115,46.4674,11,1924,3.4710653771999205
RGI60-11.01834,10.7085,46.4512,48,1903,243.3484554100146
RGI60-11.01876,8.33019,46.4383,53,1901,-6.893510003601932
RGI60-11.01930,10.1119,46.4296,5,1876,10.563826906530267
RGI60-11.01987,8.4812,46.416,23,1982,-8.935197724974273
RGI60-11.02072,7.51198,46.3839,5,1911,774.0688945222837
RGI60-11.02214,10.5127,46.348,14,1903,200.2115179147944
RGI60-11.02245,9.70108,46.3085,6,1903,309.37780376151534
RGI60-11.02249,7.22536,46.3202,5,1970,746.6102047347317
RGI60-11.02285,9.64185,46.2987,6,1905,247.26566943864293
RGI60-11.02648,9.98941,46.0754,5,1999,-5.179790320384292
RGI60-11.02671,7.9245,46.0649,40,1904,-5.678599340348001
RGI60-11.02679,7.9131,46.055,59,1962,2.267352096606402
RGI60-11.02704,7.90949,46.0336,59,1947,3.094020130724772
RGI60-11.02746,7.92806,46.0081,59,1981,1.0736710015131337
RGI60-11.02764,7.87661,46.0124,9,1871,-0.20941034793304425
RGI60-11.02766,7.29108,45.9647,18,1963,0.23296512377771705
RGI60-11.02773,7.87051,45.9936,10,1955,2.3151996747678822
RGI60-11.02774,7.38888,45.9921,48,1975,4.017063042500865
RGI60-11.03084,7.27894,45.5592,14,1928,-1.588951346849285
RGI60-11.03135,7.38984,45.5181,23,1903,465.9007200603626
RGI60-11.03166,7.2204,45.4757,12,1920,-0.41685376301671795
RGI60-11.03246,10.982920789,47.415938932,6,1867,2.344353248963074
RGI60-11.03638,6.985,45.951,39,1966,182.3604932391221
RGI60-11.03643,6.934,45.883,8,1976,-4.174363611570016
RGI60-11.03671,6.629,45.295,20,1903,164.80575725896415
RGI60-11.03674,6.159,45.16,58,1925,325.0176653426307
RGI60-11.03756,6.130521774,45.116443634,66,1925,688.670963913388
