,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,47.38373849618745
RGI60-11.00012,13.0581,47.4242,10,1888,-0.45994962770714665
RGI60-11.00073,12.5956,47.1403,17,1983,10.176287778469487
RGI60-11.00080,12.5964,47.1316,63,1933,-6.4528482984932225
RGI60-11.00106,12.6967,47.0991,28,1931,-24.457444137521293
RGI60-11.00190,12.3784,47.0851,8,1979,-22.906516515208295
RGI60-11.00251,12.9472,47.053,16,1977,-7.0589766697996765
RGI60-11.00289,12.9702,47.0421,26,1963,19.729876939546898
RGI60-11.00300,13.0049,47.0385,32,1911,18.656921692168453
RGI60-11.00603,11.2247,46.9656,19,1911,395.9318317112385
RGI60-11.00619,11.1528,46.9566,13,1892,2.8270300317500414
RGI60-11.00638,9.38896,46.9603,8,1911,386.35750921915474
RGI60-11.00647,12.0965,46.9069,6,1975,3.8995350136698335
RGI60-11.00719,10.818,46.8762,50,1967,3.2891480859975104
RGI60-11.00781,10.1603,46.8577,26,1905,190.2969685882481
RGI60-11.00787,10.7907,46.8424,62,1944,7.070980873131504
RGI60-11.00797,10.1054,46.8515,9,1928,1.5645227942274005
RGI60-11.00804,10.0766,46.8524,96,1921,-0.7769577369058993
RGI60-11.00807,10.1309,46.8529,9,1905,410.2247994836291
RGI60-11.00843,8.89117,46.8442,100,1930,1.2177753836265595
RGI60-11.00892,8.98871,46.833,42,1927,0.03475149263573485
RGI60-11.00897,10.7584,46.8003,62,1898,0.8573121006847941
RGI60-11.00918,8.97739,46.8133,38,1925,54.86646779920042
RGI60-11.00929,11.0191,46.7817,8,1895,-0.6975267203615658
RGI60-11.01238,8.3965,46.6236,33,1901,120.07237291666115
RGI60-11.01450,8.01919,46.5028,60,1903,150.16171283747389
RGI60-11.01662,9.36354,46.5056,5,1891,1.7437817509513707
RGI60-11.01704,10.771,46.4838,28,1908,-1.397475534455566
RGI60-11.01776,10.6115,46.4674,11,1903,-7.102560498932007
RGI60-11.01834,10.7085,46.4512,48,1903,385.9668811402098
RGI60-11.01876,8.33019,46.4383,53,1901,125.21751184643063
RGI60-11.01930,10.1119,46.4296,5,1907,2.752850365346376
RGI60-11.01987,8.4812,46.416,23,1930,10.021607347941767
RGI60-11.02072,7.51198,46.3839,5,1911,860.5290313592775
RGI60-11.02214,10.5127,46.348,14,1903,336.3678675881322
RGI60-11.02245,9.70108,46.3085,6,1903,369.15757621817704
RGI60-11.02249,7.22536,46.3202,5,1970,829.1174450894757
RGI60-11.02285,9.64185,46.2987,6,1905,297.1870563226024
RGI60-11.02648,9.98941,46.0754,5,1999,-14.528892602322095
RGI60-11.02671,7.9245,46.0649,40,1911,6.875713321862577
RGI60-11.02679,7.9131,46.055,59,1882,5.471261296017957
RGI60-11.02704,7.90949,46.0336,59,1880,-0.008033169621370462
RGI60-11.02746,7.92806,46.0081,59,1980,0.921128266518366
RGI60-11.02764,7.87661,46.0124,9,1942,0.7827543817384139
RGI60-11.02766,7.29108,45.9647,18,1925,-1.6448830342663996
RGI60-11.02773,7.87051,45.9936,10,1976,5.835914047118877
RGI60-11.02774,7.38888,45.9921,48,1917,1.9150837112305794
RGI60-11.03084,7.27894,45.5592,14,1909,-1.6853555958422248
RGI60-11.03135,7.38984,45.5181,23,1903,611.6974264555454
RGI60-11.03166,7.2204,45.4757,12,1883,-0.11534908140384914
RGI60-11.03246,10.982920789,47.415938932,6,1996,-0.7543506072285311
RGI60-11.03638,6.985,45.951,39,1966,272.0524726946022
RGI60-11.03643,6.934,45.883,8,1976,0.9027746275580739
RGI60-11.03671,6.629,45.295,20,1903,270.2046989869817
RGI60-11.03674,6.159,45.16,58,1925,401.14609174818486
RGI60-11.03756,6.130521774,45.116443634,66,1925,754.9925058279105
