,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,75.6149420187138
RGI60-11.00012,13.0581,47.4242,10,1931,3.983947777208641
RGI60-11.00073,12.5956,47.1403,17,1983,0.47473889513366885
RGI60-11.00080,12.5964,47.1316,63,1885,1.379310391189506
RGI60-11.00106,12.6967,47.0991,28,1931,5.8624487400153384
RGI60-11.00190,12.3784,47.0851,8,1979,4.5437631109934955
RGI60-11.00251,12.9472,47.053,16,1977,14.153884668346109
RGI60-11.00289,12.9702,47.0421,26,1884,-4.383426573051224
RGI60-11.00300,13.0049,47.0385,32,1911,50.14307064392597
RGI60-11.00603,11.2247,46.9656,19,1911,418.93830859890363
RGI60-11.00619,11.1528,46.9566,13,1894,-6.364466626176068
RGI60-11.00638,9.38896,46.9603,8,1911,417.2517264553185
RGI60-11.00647,12.0965,46.9069,6,1938,-0.2519417572633529
RGI60-11.00719,10.818,46.8762,50,1968,6.273987707313324
RGI60-11.00781,10.1603,46.8577,26,1905,212.93272366528413
RGI60-11.00787,10.7907,46.8424,62,1944,10.736219680781716
RGI60-11.00797,10.1054,46.8515,9,1883,6.281639940213154
RGI60-11.00804,10.0766,46.8524,96,1906,1.0358873844664345
RGI60-11.00807,10.1309,46.8529,9,1905,429.5662831404446
RGI60-11.00843,8.89117,46.8442,100,1883,0.746625045401089
RGI60-11.00892,8.98871,46.833,42,1911,-2.830715099658107
RGI60-11.00897,10.7584,46.8003,62,1911,3.763360890231411
RGI60-11.00918,8.97739,46.8133,38,1925,59.85483894541366
RGI60-11.00929,11.0191,46.7817,8,1922,-0.5214394043495076
RGI60-11.01238,8.3965,46.6236,33,1901,130.43897074264714
RGI60-11.01450,8.01919,46.5028,60,1903,161.71869039021266
RGI60-11.01662,9.36354,46.5056,5,1902,-1.0347553395321256
RGI60-11.01704,10.771,46.4838,28,1916,-3.595174131160661
RGI60-11.01776,10.6115,46.4674,11,1903,29.955147374729904
RGI60-11.01834,10.7085,46.4512,48,1903,409.7366697600622
RGI60-11.01876,8.33019,46.4383,53,1901,147.23603334156132
RGI60-11.01930,10.1119,46.4296,5,1909,5.075391942558554
RGI60-11.01987,8.4812,46.416,23,1964,-1.9235269503379868
RGI60-11.02072,7.51198,46.3839,5,1911,874.9391294618454
RGI60-11.02214,10.5127,46.348,14,1903,359.06061505823595
RGI60-11.02245,9.70108,46.3085,6,1903,379.1209159035502
RGI60-11.02249,7.22536,46.3202,5,1970,842.8686808080495
RGI60-11.02285,9.64185,46.2987,6,1905,305.50731546910447
RGI60-11.02648,9.98941,46.0754,5,1999,-16.087097847703923
RGI60-11.02671,7.9245,46.0649,40,1911,15.338642274638914
RGI60-11.02679,7.9131,46.055,59,1881,2.579065418197416
RGI60-11.02704,7.90949,46.0336,59,1955,0.0252717719960458
RGI60-11.02746,7.92806,46.0081,59,1972,-1.4244664374222396
RGI60-11.02764,7.87661,46.0124,9,1956,2.627668552156365
RGI60-11.02766,7.29108,45.9647,18,1911,12.762357373126065
RGI60-11.02773,7.87051,45.9936,10,1931,-1.974447840259927
RGI60-11.02774,7.38888,45.9921,48,1921,0.054992367663487585
RGI60-11.03084,7.27894,45.5592,14,1911,-1.9287801032311336
RGI60-11.03135,7.38984,45.5181,23,1903,635.9969182574498
RGI60-11.03166,7.2204,45.4757,12,1911,-1.1429988422951851
RGI60-11.03246,10.982920789,47.415938932,6,1997,6.682246779772726
RGI60-11.03638,6.985,45.951,39,1966,287.00117878968615
RGI60-11.03643,6.934,45.883,8,1900,-0.8618904584066058
RGI60-11.03671,6.629,45.295,20,1903,287.77120631835623
RGI60-11.03674,6.159,45.16,58,1925,413.83417853406274
RGI60-11.03756,6.130521774,45.116443634,66,1925,766.0461067488093
