,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1898,-3.687421116788755
RGI60-11.00012,13.0581,47.4242,10,1934,-1.42594093839557
RGI60-11.00073,12.5956,47.1403,17,1978,1.5346863926383776
RGI60-11.00080,12.5964,47.1316,63,1936,0.9402502574049549
RGI60-11.00106,12.6967,47.0991,28,1880,0.3514741763939355
RGI60-11.00190,12.3784,47.0851,8,1984,14.46339752503286
RGI60-11.00251,12.9472,47.053,16,1983,-0.13997002993983187
RGI60-11.00289,12.9702,47.0421,26,1971,0.5673178766875253
RGI60-11.00300,13.0049,47.0385,32,1899,-10.681848533448829
RGI60-11.00603,11.2247,46.9656,19,1911,211.88046899749668
RGI60-11.00619,11.1528,46.9566,13,1879,-4.92347054683205
RGI60-11.00638,9.38896,46.9603,8,1911,139.20419827971205
RGI60-11.00647,12.0965,46.9069,6,1979,1.474769503067364
RGI60-11.00719,10.818,46.8762,50,1973,7.92238213312811
RGI60-11.00781,10.1603,46.8577,26,1905,9.211179815883611
RGI60-11.00787,10.7907,46.8424,62,1981,-5.913775916737194
RGI60-11.00797,10.1054,46.8515,9,1931,-9.76117322623304
RGI60-11.00804,10.0766,46.8524,96,1885,-5.651872865031407
RGI60-11.00807,10.1309,46.8529,9,1905,255.49304797463935
RGI60-11.00843,8.89117,46.8442,100,1973,1.935295164846167
RGI60-11.00892,8.98871,46.833,42,1902,0.023664027471625104
RGI60-11.00897,10.7584,46.8003,62,1927,1.7323552369587105
RGI60-11.00918,8.97739,46.8133,38,1925,14.959425223142802
RGI60-11.00929,11.0191,46.7817,8,1885,1.9492336427463215
RGI60-11.01238,8.3965,46.6236,33,1901,37.13984276772271
RGI60-11.01450,8.01919,46.5028,60,1903,57.70593229409559
RGI60-11.01662,9.36354,46.5056,5,1879,12.863432314566694
RGI60-11.01704,10.771,46.4838,28,1882,-11.969029634736444
RGI60-11.01776,10.6115,46.4674,11,1885,0.13293815906695272
RGI60-11.01834,10.7085,46.4512,48,1903,195.80895421786113
RGI60-11.01876,8.33019,46.4383,53,1900,4.002011280366787
RGI60-11.01930,10.1119,46.4296,5,1874,19.97546987294845
RGI60-11.01987,8.4812,46.416,23,1932,-0.9755001142772244
RGI60-11.02072,7.51198,46.3839,5,1911,745.2487835459888
RGI60-11.02214,10.5127,46.348,14,1903,154.8260630266608
RGI60-11.02245,9.70108,46.3085,6,1903,289.4512019726245
RGI60-11.02249,7.22536,46.3202,5,1970,719.1077974809718
RGI60-11.02285,9.64185,46.2987,6,1905,230.62520403128076
RGI60-11.02648,9.98941,46.0754,5,1999,-2.0633892180725084
RGI60-11.02671,7.9245,46.0649,40,1922,-2.6502924136282218
RGI60-11.02679,7.9131,46.055,59,1982,3.9178713707599684
RGI60-11.02704,7.90949,46.0336,59,1940,0.5507291110417611
RGI60-11.02746,7.92806,46.0081,59,1930,-0.21408856180724456
RGI60-11.02764,7.87661,46.0124,9,1936,13.19493353856069
RGI60-11.02766,7.29108,45.9647,18,1931,4.127460261749206
RGI60-11.02773,7.87051,45.9936,10,1982,2.7478114053044465
RGI60-11.02774,7.38888,45.9921,48,1964,-1.1063359319653614
RGI60-11.03084,7.27894,45.5592,14,1879,0.373974438691107
RGI60-11.03135,7.38984,45.5181,23,1903,417.3018217503602
RGI60-11.03166,7.2204,45.4757,12,1929,1.0891252301718737
RGI60-11.03246,10.982920789,47.415938932,6,1993,-0.10665981754405607
RGI60-11.03638,6.985,45.951,39,1966,152.46311588431593
RGI60-11.03643,6.934,45.883,8,1978,3.762936632821493
RGI60-11.03671,6.629,45.295,20,1903,129.67275226917695
RGI60-11.03674,6.159,45.16,58,1925,299.64149930714154
RGI60-11.03756,6.130521774,45.116443634,66,1925,666.5637970128112
