,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,160.30841532766
RGI60-11.00012,13.0581,47.4242,10,1930,4.346707973257935
RGI60-11.00073,12.5956,47.1403,17,1986,2.5314342495383926
RGI60-11.00080,12.5964,47.1316,63,1931,1.911953137919113
RGI60-11.00106,12.6967,47.0991,28,1889,-4.374842066802898
RGI60-11.00190,12.3784,47.0851,8,1976,-0.009056789569513057
RGI60-11.00251,12.9472,47.053,16,1868,-1.4490514985341179
RGI60-11.00289,12.9702,47.0421,26,1892,-1.0219884848203264
RGI60-11.00300,13.0049,47.0385,32,1911,144.60128870871756
RGI60-11.00603,11.2247,46.9656,19,1911,487.9575619653234
RGI60-11.00619,11.1528,46.9566,13,1913,-2.2278513166648963
RGI60-11.00638,9.38896,46.9603,8,1911,509.93421699318606
RGI60-11.00647,12.0965,46.9069,6,1934,-3.116546002818609
RGI60-11.00719,10.818,46.8762,50,1930,-5.376808669545255
RGI60-11.00781,10.1603,46.8577,26,1905,280.8398825026511
RGI60-11.00787,10.7907,46.8424,62,1957,-0.0149227733494115
RGI60-11.00797,10.1054,46.8515,9,1890,1.3343691706941172
RGI60-11.00804,10.0766,46.8524,96,1904,-0.562839178554384
RGI60-11.00807,10.1309,46.8529,9,1905,487.590665725303
RGI60-11.00843,8.89117,46.8442,100,1885,0.5259542032625006
RGI60-11.00892,8.98871,46.833,42,1925,8.942204654348245
RGI60-11.00897,10.7584,46.8003,62,1903,23.515135994654884
RGI60-11.00918,8.97739,46.8133,38,1925,74.81994199295363
RGI60-11.00929,11.0191,46.7817,8,1913,2.1753129629070145
RGI60-11.01238,8.3965,46.6236,33,1901,161.5386539945357
RGI60-11.01450,8.01919,46.5028,60,1903,196.38962182780045
RGI60-11.01662,9.36354,46.5056,5,1901,58.047080402641086
RGI60-11.01704,10.771,46.4838,28,1904,5.126132957148116
RGI60-11.01776,10.6115,46.4674,11,1903,141.1281093342418
RGI60-11.01834,10.7085,46.4512,48,1903,481.0459088448208
RGI60-11.01876,8.33019,46.4383,53,1901,213.29151190985272
RGI60-11.01930,10.1119,46.4296,5,1903,19.032426381408868
RGI60-11.01987,8.4812,46.416,23,1873,-0.6970125284414053
RGI60-11.02072,7.51198,46.3839,5,1911,918.1692205587508
RGI60-11.02214,10.5127,46.348,14,1903,427.1387681256364
RGI60-11.02245,9.70108,46.3085,6,1903,409.0108065923798
RGI60-11.02249,7.22536,46.3202,5,1970,884.1222650756199
RGI60-11.02285,9.64185,46.2987,6,1905,330.4680041034511
RGI60-11.02648,9.98941,46.0754,5,1999,-20.761663433808828
RGI60-11.02671,7.9245,46.0649,40,1911,40.727451811708534
RGI60-11.02679,7.9131,46.055,59,1931,-0.3429262542128697
RGI60-11.02704,7.90949,46.0336,59,1954,0.48658675439665444
RGI60-11.02746,7.92806,46.0081,59,1974,2.6264914929130043
RGI60-11.02764,7.87661,46.0124,9,1981,3.0419832450338617
RGI60-11.02766,7.29108,45.9647,18,1911,99.19361660865127
RGI60-11.02773,7.87051,45.9936,10,1975,-1.0818941425259254
RGI60-11.02774,7.38888,45.9921,48,1911,1.0761591510285484
RGI60-11.03084,7.27894,45.5592,14,1896,-6.2322338709226415
RGI60-11.03135,7.38984,45.5181,23,1903,708.8952457542009
RGI60-11.03166,7.2204,45.4757,12,1890,-2.1736537939437426
RGI60-11.03246,10.982920789,47.415938932,6,1999,-8.232994684790953
RGI60-11.03638,6.985,45.951,39,1966,331.8472117549485
RGI60-11.03643,6.934,45.883,8,1906,-1.7275864882490168
RGI60-11.03671,6.629,45.295,20,1903,340.47066065529725
RGI60-11.03674,6.159,45.16,58,1925,451.89840261718575
RGI60-11.03756,6.130521774,45.116443634,66,1925,799.206865520867
