,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1912,6.051490624179451
RGI60-11.00012,13.0581,47.4242,10,1887,4.201338881976426
RGI60-11.00073,12.5956,47.1403,17,1981,0.07504175859867246
RGI60-11.00080,12.5964,47.1316,63,1934,-8.90105806261397
RGI60-11.00106,12.6967,47.0991,28,1932,4.179790576357959
RGI60-11.00190,12.3784,47.0851,8,1982,2.056433166695342
RGI60-11.00251,12.9472,47.053,16,1979,-3.0371329009528836
RGI60-11.00289,12.9702,47.0421,26,1948,2.7143222333194217
RGI60-11.00300,13.0049,47.0385,32,1908,0.3417712043105894
RGI60-11.00603,11.2247,46.9656,19,1911,326.9125806611074
RGI60-11.00619,11.1528,46.9566,13,1885,-6.274593110587148
RGI60-11.00638,9.38896,46.9603,8,1911,293.67503120179936
RGI60-11.00647,12.0965,46.9069,6,1942,-0.5388829365699621
RGI60-11.00719,10.818,46.8762,50,1963,-4.5458725202368555
RGI60-11.00781,10.1603,46.8577,26,1905,122.38980316266645
RGI60-11.00787,10.7907,46.8424,62,1944,-3.924704801917386
RGI60-11.00797,10.1054,46.8515,9,1929,0.20600841487657817
RGI60-11.00804,10.0766,46.8524,96,1926,1.135793813651219
RGI60-11.00807,10.1309,46.8529,9,1905,352.20038773939325
RGI60-11.00843,8.89117,46.8442,100,1931,0.12049860845243643
RGI60-11.00892,8.98871,46.833,42,1903,0.42401415342061455
RGI60-11.00897,10.7584,46.8003,62,1914,1.4169114917112893
RGI60-11.00918,8.97739,46.8133,38,1925,39.901311119883616
RGI60-11.00929,11.0191,46.7817,8,1920,-1.306258123575617
RGI60-11.01238,8.3965,46.6236,33,1901,88.97268211951132
RGI60-11.01450,8.01919,46.5028,60,1903,115.49079865164884
RGI60-11.01662,9.36354,46.5056,5,1909,0.25046412936660545
RGI60-11.01704,10.771,46.4838,28,1926,6.221033217295599
RGI60-11.01776,10.6115,46.4674,11,1913,2.001025365467285
RGI60-11.01834,10.7085,46.4512,48,1903,314.65767220803446
RGI60-11.01876,8.33019,46.4383,53,1901,59.162004228963724
RGI60-11.01930,10.1119,46.4296,5,1927,-0.08748197384647938
RGI60-11.01987,8.4812,46.416,23,1979,3.3670075755725293
RGI60-11.02072,7.51198,46.3839,5,1911,817.2989531700507
RGI60-11.02214,10.5127,46.348,14,1903,268.2896861921573
RGI60-11.02245,9.70108,46.3085,6,1903,339.2676901066276
RGI60-11.02249,7.22536,46.3202,5,1970,787.8638320161658
RGI60-11.02285,9.64185,46.2987,6,1905,272.22636404788886
RGI60-11.02648,9.98941,46.0754,5,1999,-9.854345535100357
RGI60-11.02671,7.9245,46.0649,40,1905,-1.9662011213479218
RGI60-11.02679,7.9131,46.055,59,1981,-0.30870793420601217
RGI60-11.02704,7.90949,46.0336,59,1874,0.1469235277305927
RGI60-11.02746,7.92806,46.0081,59,1963,-1.3497004348529629
RGI60-11.02764,7.87661,46.0124,9,1867,0.19577346973596832
RGI60-11.02766,7.29108,45.9647,18,1970,-0.7907727141779333
RGI60-11.02773,7.87051,45.9936,10,1875,-3.063283905640219
RGI60-11.02774,7.38888,45.9921,48,1919,2.804494808341076
RGI60-11.03084,7.27894,45.5592,14,1921,-0.8830383479290731
RGI60-11.03135,7.38984,45.5181,23,1903,538.7990768459772
RGI60-11.03166,7.2204,45.4757,12,1882,0.9400113414362181
RGI60-11.03246,10.982920789,47.415938932,6,1995,2.0025582681374487
RGI60-11.03638,6.985,45.951,39,1966,227.20647597133564
RGI60-11.03643,6.934,45.883,8,1976,-1.6357953764204467
RGI60-11.03671,6.629,45.295,20,1903,217.5052217376076
RGI60-11.03674,6.159,45.16,58,1925,363.081872534386
RGI60-11.03756,6.130521774,45.116443634,66,1925,721.8317411732376
