,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,245.00186614439258
RGI60-11.00012,13.0581,47.4242,10,1929,-0.7222409701739707
RGI60-11.00073,12.5956,47.1403,17,1989,4.202660448753932
RGI60-11.00080,12.5964,47.1316,63,1896,-1.6250393526322569
RGI60-11.00106,12.6967,47.0991,28,1894,-0.6640869656768018
RGI60-11.00190,12.3784,47.0851,8,1945,-0.009540229398680822
RGI60-11.00251,12.9472,47.053,16,1876,0.37262954627817635
RGI60-11.00289,12.9702,47.0421,26,1928,-8.884616576832514
RGI60-11.00300,13.0049,47.0385,32,1911,239.05953535578033
RGI60-11.00603,11.2247,46.9656,19,1911,556.9768086339757
RGI60-11.00619,11.1528,46.9566,13,1903,56.2863417408588
RGI60-11.00638,9.38896,46.9603,8,1911,602.6166930847559
RGI60-11.00647,12.0965,46.9069,6,1879,7.812070845789776
RGI60-11.00719,10.818,46.8762,50,1882,-5.729627908188206
RGI60-11.00781,10.1603,46.8577,26,1905,348.7470486799165
RGI60-11.00787,10.7907,46.8424,62,1940,0.200686053401256
RGI60-11.00797,10.1054,46.8515,9,1898,0.7848269913129116
RGI60-11.00804,10.0766,46.8524,96,1905,36.11280513599189
RGI60-11.00807,10.1309,46.8529,9,1905,545.6150729312706
RGI60-11.00843,8.89117,46.8442,100,1896,-2.3006480546368664
RGI60-11.00892,8.98871,46.833,42,1925,26.073980035354282
RGI60-11.00897,10.7584,46.8003,62,1903,96.46616001039013
RGI60-11.00918,8.97739,46.8133,38,1925,89.78508505112458
RGI60-11.00929,11.0191,46.7817,8,1905,3.613157106219319
RGI60-11.01238,8.3965,46.6236,33,1901,192.638353012082
RGI60-11.01450,8.01919,46.5028,60,1903,231.0605326807833
RGI60-11.01662,9.36354,46.5056,5,1901,126.57135387280834
RGI60-11.01704,10.771,46.4838,28,1903,76.98702380335294
RGI60-11.01776,10.6115,46.4674,11,1903,252.30113021729403
RGI60-11.01834,10.7085,46.4512,48,1903,552.3551141161503
RGI60-11.01876,8.33019,46.4383,53,1901,279.3469949551859
RGI60-11.01930,10.1119,46.4296,5,1903,153.53255137128178
RGI60-11.01987,8.4812,46.416,23,1927,-0.22694193468771573
RGI60-11.02072,7.51198,46.3839,5,1911,961.3993062258536
RGI60-11.02214,10.5127,46.348,14,1903,495.2169339922633
RGI60-11.02245,9.70108,46.3085,6,1903,438.9006859654297
RGI60-11.02249,7.22536,46.3202,5,1970,925.3758849449767
RGI60-11.02285,9.64185,46.2987,6,1905,355.42868839270193
RGI60-11.02648,9.98941,46.0754,5,1999,-25.436226817512512
RGI60-11.02671,7.9245,46.0649,40,1911,66.11626296168083
RGI60-11.02679,7.9131,46.055,59,1973,1.6118151527291786
RGI60-11.02704,7.90949,46.0336,59,1979,1.0095580902019776
RGI60-11.02746,7.92806,46.0081,59,1899,-0.42259762271115164
RGI60-11.02764,7.87661,46.0124,9,1977,-0.6827237992524715
RGI60-11.02766,7.29108,45.9647,18,1911,185.62488349191312
RGI60-11.02773,7.87051,45.9936,10,1928,0.010323617490030301
RGI60-11.02774,7.38888,45.9921,48,1903,47.960730450389235
RGI60-11.03084,7.27894,45.5592,14,1901,-0.936524127601956
RGI60-11.03135,7.38984,45.5181,23,1903,781.7935904801676
RGI60-11.03166,7.2204,45.4757,12,1901,10.343530032459114
RGI60-11.03246,10.982920789,47.415938932,6,1999,-37.376518697390594
RGI60-11.03638,6.985,45.951,39,1966,376.6932075222297
RGI60-11.03643,6.934,45.883,8,1919,0.38219462954612027
RGI60-11.03671,6.629,45.295,20,1903,393.1701473747012
RGI60-11.03674,6.159,45.16,58,1925,489.962628561522
RGI60-11.03756,6.130521774,45.116443634,66,1925,832.3676268391827
