,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,-9.07857652911298
RGI60-11.00012,13.0581,47.4242,10,1884,0.35288224024361625
RGI60-11.00073,12.5956,47.1403,17,1982,2.6603546623921375
RGI60-11.00080,12.5964,47.1316,63,1934,4.243252844985477
RGI60-11.00106,12.6967,47.0991,28,1882,11.98327506088674
RGI60-11.00190,12.3784,47.0851,8,1981,-3.3627252421683806
RGI60-11.00251,12.9472,47.053,16,1978,10.69018990313316
RGI60-11.00289,12.9702,47.0421,26,1965,1.9459353441110352
RGI60-11.00300,13.0049,47.0385,32,1910,0.7333687254051711
RGI60-11.00603,11.2247,46.9656,19,1911,349.91896551688944
RGI60-11.00619,11.1528,46.9566,13,1886,1.0363665909937936
RGI60-11.00638,9.38896,46.9603,8,1911,324.5691881675332
RGI60-11.00647,12.0965,46.9069,6,1945,0.5292472230753447
RGI60-11.00719,10.818,46.8762,50,1874,-5.973684457131469
RGI60-11.00781,10.1603,46.8577,26,1905,145.02551184710615
RGI60-11.00787,10.7907,46.8424,62,1944,-0.25947392101599576
RGI60-11.00797,10.1054,46.8515,9,1929,15.46210067296738
RGI60-11.00804,10.0766,46.8524,96,1919,-0.21905755559220097
RGI60-11.00807,10.1309,46.8529,9,1905,371.5418475108796
RGI60-11.00843,8.89117,46.8442,100,1963,-1.6711681717128783
RGI60-11.00892,8.98871,46.833,42,1926,-2.149766649664741
RGI60-11.00897,10.7584,46.8003,62,1916,2.1983439691184685
RGI60-11.00918,8.97739,46.8133,38,1925,44.88968002113856
RGI60-11.00929,11.0191,46.7817,8,1918,0.029981968685206084
RGI60-11.01238,8.3965,46.6236,33,1901,99.33922511301535
RGI60-11.01450,8.01919,46.5028,60,1903,127.04779248611243
RGI60-11.01662,9.36354,46.5056,5,1887,0.10042916198551666
RGI60-11.01704,10.771,46.4838,28,1887,0.46812294482265315
RGI60-11.01776,10.6115,46.4674,11,1900,0.9359002946603141
RGI60-11.01834,10.7085,46.4512,48,1903,338.42740091810197
RGI60-11.01876,8.33019,46.4383,53,1901,81.18045890369763
RGI60-11.01930,10.1119,46.4296,5,1918,-2.5670332303827763
RGI60-11.01987,8.4812,46.416,23,1977,7.683346563709733
RGI60-11.02072,7.51198,46.3839,5,1911,831.7089708196556
RGI60-11.02214,10.5127,46.348,14,1903,290.9824090527268
RGI60-11.02245,9.70108,46.3085,6,1903,349.23096261759576
RGI60-11.02249,7.22536,46.3202,5,1970,801.6150092514579
RGI60-11.02285,9.64185,46.2987,6,1905,280.5465798349196
RGI60-11.02648,9.98941,46.0754,5,1999,-11.412520497508332
RGI60-11.02671,7.9245,46.0649,40,1905,5.945191874875036
RGI60-11.02679,7.9131,46.055,59,1979,-1.695796511134148
RGI60-11.02704,7.90949,46.0336,59,1945,-1.3815991546094608
RGI60-11.02746,7.92806,46.0081,59,1884,-5.512785352909674
RGI60-11.02764,7.87661,46.0124,9,1939,-6.638170723079611
RGI60-11.02766,7.29108,45.9647,18,1967,-0.5691744100842016
RGI60-11.02773,7.87051,45.9936,10,1977,0.3655712457177742
RGI60-11.02774,7.38888,45.9921,48,1907,0.2569812493154018
RGI60-11.03084,7.27894,45.5592,14,1913,1.6298151553636444
RGI60-11.03135,7.38984,45.5181,23,1903,563.0985200045702
RGI60-11.03166,7.2204,45.4757,12,1913,-0.9735304117075998
RGI60-11.03246,10.982920789,47.415938932,6,1995,-5.786410392742738
RGI60-11.03638,6.985,45.951,39,1966,242.15513472955138
RGI60-11.03643,6.934,45.883,8,1976,-0.7896382682401963
RGI60-11.03671,6.629,45.295,20,1903,235.0717022928518
RGI60-11.03674,6.159,45.16,58,1925,375.7699387822498
RGI60-11.03756,6.130521774,45.116443634,66,1925,732.8853130951604
