,correlation,rmsd,amp_diff
0.1,-0.24946259199302423,272.43788197832805,177.0
0.2,-0.09893432801423624,285.7102312861105,281.0
0.30000000000000004,-0.020092438445834488,285.1139818884006,385.0
0.4,0.03316369680190615,287.37983662614135,593.0
0.5,0.01899504780361426,297.8986814327309,593.0
0.6,0.09786233010534716,295.07021728922365,697.0
0.7000000000000001,0.15732927017269083,288.2581441845754,697.0
0.8,0.19182840178139282,299.53676766969306,801.0
0.9,0.2596318339799257,291.00204310771016,801.0
1.0,0.2867811692493966,289.8431356640821,801.0
2.0,0.48647352016284656,280.7796526797951,1217.0
3.0,0.5803657672109883,292.64366160111985,1529.0
4.0,0.6235900346350112,306.8770395398929,1737.0
5.0,0.6603318776579368,313.65053114102403,1737.0
6.0,0.6756699286341611,332.5259817434828,1841.0
7.0,0.6729999611993274,346.99505187206086,1841.0
8.0,0.7045950008337931,347.6819870384854,1945.0
9.0,0.7276874287918349,363.084853017092,1945.0
10.0,0.7380962725979389,353.3708289648187,1945.0
11.0,0.7439644418961155,362.88518219132726,1945.0
12.0,0.7494667141513159,373.89924557044674,2153.0
13.0,0.7582210374508398,381.6915638350122,2153.0
14.0,0.7803101648710032,373.2410188599297,2153.0
15.0,0.7893190468910326,380.4427812156599,2153.0
16.0,0.7967109411198959,375.41750679105223,2153.0
17.0,0.8079851935864343,380.8337433121136,2257.0
18.0,0.8081020319914908,395.82979577749916,2361.0
19.0,0.8060178108004968,399.90963302387286,2361.0
20.0,0.8119153409006705,400.8233719349173,2361.0
