,correlation,rmsd,amp_diff
0.1,0.05044033999894736,280.2520713644475,489.0
0.2,0.17256316167770483,286.43354518506555,697.0
0.30000000000000004,0.32396142472176664,291.23014607810626,905.0
0.4,0.3876740189744485,290.15393856822595,1009.0
0.5,0.44904035565787687,295.59532996304694,1113.0
0.6,0.46536395891357774,294.6675087301379,1321.0
0.7000000000000001,0.5108872482185958,291.34706080099795,1321.0
0.8,0.5519987341077334,303.76625820838694,1321.0
0.9,0.5741000789560315,307.0920627115734,1321.0
1.0,0.6257633906789395,303.6703156094576,1425.0
2.0,0.7233576423882642,338.13656192558295,1945.0
3.0,0.767507505442003,359.9589676625872,2049.0
4.0,0.7903010631019012,368.8411450588255,2049.0
5.0,0.8117928682899043,388.52858994385036,2257.0
6.0,0.8333663878189128,400.5792778005391,2361.0
7.0,0.8473226354987291,413.2728117633924,2569.0
8.0,0.863456497440469,424.4325811626109,2777.0
9.0,0.8593442754580795,457.88158358780686,2777.0
10.0,0.8792023641438937,470.6870120848803,2777.0
11.0,0.8819440787807724,471.1110888222281,2777.0
12.0,0.8834471373418238,490.00337123887397,2985.0
13.0,0.8938296718274102,487.00800476360376,2985.0
14.0,0.8907230885568043,501.37846808977974,2985.0
15.0,0.898694501168518,506.81942459692937,2881.0
16.0,0.9031294724435672,526.6223333826176,2985.0
17.0,0.9060007068673963,531.7157226800642,2985.0
18.0,0.9064090598537893,542.8980254773023,2985.0
19.0,0.9069477910508892,546.5490280465301,3089.0
20.0,0.9109609747925336,539.3050522215228,3089.0
