,correlation,rmsd,amp_diff
0.1,-0.06349398310940915,285.11978362505795,385.0
0.2,0.10884881845388061,285.3281374464589,593.0
0.30000000000000004,0.19618560260921372,284.6339884596366,697.0
0.4,0.26871851756794557,292.0421047990877,905.0
0.5,0.34885903712268207,292.8524504184553,905.0
0.6,0.3759139573874328,291.5250504130683,1113.0
0.7000000000000001,0.4235050904928927,294.3177914882884,1113.0
0.8,0.47692829023365063,286.94261465180733,1113.0
0.9,0.48614907139952107,293.61039245471284,1321.0
1.0,0.49193169732823544,300.26134793928946,1321.0
2.0,0.6489721904161809,326.79981450671403,1841.0
3.0,0.6997573962692416,348.44088242560076,1945.0
4.0,0.7443701766271318,357.56595908611104,1945.0
5.0,0.7750578064431748,364.9803047290135,2049.0
6.0,0.7886378161717652,376.2562587990676,2153.0
7.0,0.7984958626330487,388.384835087391,2257.0
8.0,0.8140484207401452,396.48447253779295,2361.0
9.0,0.8340743522073576,404.9740657865188,2361.0
10.0,0.8262523654939874,425.55459902967056,2673.0
11.0,0.8519053572622892,434.8838629702458,2777.0
12.0,0.8527338572888884,445.7338051590872,2777.0
13.0,0.8600397315720407,449.38607562642505,2777.0
14.0,0.8758689886305017,456.32129935014075,2777.0
15.0,0.8746490571699375,462.08045742473274,2777.0
16.0,0.8842157055655426,471.1523135721427,2777.0
17.0,0.8806061533516166,485.51397044104897,2985.0
18.0,0.8842843021794096,495.96912038525164,2985.0
19.0,0.8890259271608144,496.59416237653386,2881.0
20.0,0.8909241169516942,503.0694635063411,2985.0
