,correlation,rmsd,amp_diff
0.1,-0.11979262223429063,284.48325710505804,281.0
0.2,-0.0035166986160052966,284.90890723736135,385.0
0.30000000000000004,0.06966459586090823,294.62501541484255,593.0
0.4,0.14894105297291774,284.7265767700644,697.0
0.5,0.19666708511283104,291.7849887402134,697.0
0.6,0.24712211682919452,290.69356285730044,905.0
0.7000000000000001,0.3187993463378562,293.7791224096895,905.0
0.8,0.3269721038939445,291.9732139663268,905.0
0.9,0.3852475746602294,286.1391029812134,1009.0
1.0,0.3913604631630264,290.8449202920216,1113.0
2.0,0.5982277374893056,292.6086784173757,1737.0
3.0,0.6741184873893237,299.58346507490586,1737.0
4.0,0.6974961026993153,322.20751814908164,1841.0
5.0,0.7260378092374983,341.81890479374135,1945.0
6.0,0.7659372225622656,343.068330787809,1945.0
7.0,0.7567285560425291,363.8280281955312,2049.0
8.0,0.7660022004241788,368.03517366705273,2153.0
9.0,0.783593813712929,374.4612846765847,2153.0
10.0,0.7963144795124055,380.1016063249501,2153.0
11.0,0.7962906661098438,394.55278314014987,2361.0
12.0,0.8119286640293986,400.13591123227843,2361.0
13.0,0.8298202177214211,402.46399490999494,2361.0
14.0,0.8333489666310366,401.4268024483938,2257.0
15.0,0.8284423560306533,415.84732801712266,2569.0
16.0,0.8339558815805379,430.3257964137046,2777.0
17.0,0.8420465260470742,429.5470490706408,2673.0
18.0,0.8528042247219737,441.91379768815096,2673.0
19.0,0.8554326464732809,449.90897748612616,2777.0
20.0,0.8603505800725316,459.7230665723447,2777.0
