,correlation,rmsd,amp_diff
0.1,-0.009094188191946209,280.5969097736218,489.0
0.2,0.11331144282889603,291.62153256582667,593.0
0.30000000000000004,0.23847804184632757,289.07887939678517,905.0
0.4,0.3313765699148163,284.96989489945844,905.0
0.5,0.39133086105683923,290.02767500760973,1113.0
0.6,0.4300266905665568,289.31277779805976,1113.0
0.7000000000000001,0.45766154199257914,294.06700926460223,1217.0
0.8,0.49533926704707043,296.0446249209709,1217.0
0.9,0.52057259972551,292.8230349122237,1217.0
1.0,0.5584219269767089,291.0299077186733,1321.0
2.0,0.6915994066463462,316.63080532421554,1841.0
3.0,0.7183498974871905,350.4031194555796,1945.0
4.0,0.7613355296937561,362.59904355251643,2049.0
5.0,0.7813901533120473,371.1684838211124,2049.0
6.0,0.7995735604566211,389.97743529879983,2257.0
7.0,0.8179374222182814,394.67287200908385,2361.0
8.0,0.8363753070909349,409.63140353822234,2361.0
9.0,0.8433782339902829,419.6796717697523,2569.0
10.0,0.8492984758182217,442.6641304986242,2777.0
11.0,0.8537461646655283,452.2737717295517,2777.0
12.0,0.8645063476266871,464.33896099030693,2777.0
13.0,0.8778126823282335,462.7550129199633,2777.0
14.0,0.8824863362248877,482.42440420822817,2881.0
15.0,0.8799766151285086,479.02591457048874,2881.0
16.0,0.8812826577471093,494.4483470929429,2881.0
17.0,0.8829539569748955,501.9464534471343,2985.0
18.0,0.8910832216361451,507.5468548218168,2985.0
19.0,0.8972224021061721,511.91211915049263,2985.0
20.0,0.9009717258428469,524.1759508274004,2985.0
