,correlation,rmsd,amp_diff
0.1,-0.3300783468671264,258.3464840478018,73.0
0.2,-0.28119549198409255,278.53313928718876,177.0
0.30000000000000004,-0.19364007926877533,286.0682570139012,177.0
0.4,-0.13703151735344862,292.5748884843249,281.0
0.5,-0.08524299805851668,293.7375487099453,385.0
0.6,-0.05797342940929694,290.41044998164347,385.0
0.7000000000000001,-0.04627479753281825,289.3745945425931,385.0
0.8,-0.018360858860582342,290.0392377129479,489.0
0.9,0.01566265845553339,292.62697251578425,593.0
1.0,0.03801975535490293,293.0773718649734,593.0
2.0,0.2888915742201883,274.4737488502615,801.0
3.0,0.39009006103016797,280.87707181179996,1009.0
4.0,0.5043881888843742,278.0793889403193,1113.0
5.0,0.548920305641965,286.26773565653036,1425.0
6.0,0.5850852997981763,288.5859093976077,1529.0
7.0,0.6011068802660867,296.50235138482043,1529.0
8.0,0.6188912352173153,296.23833098806546,1529.0
9.0,0.6688675258751472,297.77529811547265,1529.0
10.0,0.6667604391161503,312.3071285324048,1737.0
11.0,0.6644155000256086,321.9024782865112,1737.0
12.0,0.6772996443422848,316.0059319627642,1737.0
13.0,0.6969037241723769,315.47545037644716,1737.0
14.0,0.7067224421817584,329.32583274886446,1841.0
15.0,0.7050630771847607,333.8861710884579,1841.0
16.0,0.7124874422644604,334.83154704308447,1841.0
17.0,0.720223199726251,340.89654902678393,1841.0
18.0,0.7298352171300677,338.0326468120048,1841.0
19.0,0.7326873821761637,337.8820139824935,1945.0
20.0,0.7345777412970516,337.3624412669153,1945.0
